New (Shinjitai),Grade,English meaning,Readings
修,5,discipline,シュウ shū、（シュ） (shu)、おさ-める osa-meru、おさ-まる osa-maru
述,5,mention,ジュツ jutsu、の-べる no-beru
術,5,art,ジュツ jutsu
準,5,standard,ジュン jun
序,5,preface,ジョ jo
招,5,beckon,ショウ shō、まね-く mane-ku
証,5,evidence,ショウ shō
象,5,elephant,ショウ shō、ゾウ zō
賞,5,prize,ショウ shō
条,5,clause,ジョウ jō
状,5,form,ジョウ jō
常,5,normal,ジョウ jō、つね tsune、とこ toko
情,5,feelings,ジョウ jō、（セイ） (sei)、なさ-け nasa-ke
織,5,weave,ショク shoku、シキ shiki、お-る o-ru
職,5,employment,ショク shoku
制,5,control,セイ sei
性,5,gender,セイ sei、ショウ shō
政,5,politics,セイ sei、（ショウ） (shō)、まつりごと matsurigoto
勢,5,power,セイ sei、いきお-い ikio-i
精,5,refined,セイ sei、（ショウ） (shō)
製,5,manufacture,セイ sei
税,5,tax,ゼイ zei
責,5,blame,セキ seki、せ-める se-meru
績,5,exploits,セキ seki
接,5,contact,セツ setsu、つ-ぐ tsu-gu
設,5,establish,セツ setsu、もう-ける mō-keru
絶,5,discontinue,ゼツ zetsu、た-える ta-eru、た-やす ta-yasu、た-つ ta-tsu
祖,5,ancestor,ソ so
素,5,elementary,ソ so、ス su
総,5,whole,ソウ sō
造,5,create,ゾウ zō、つく-る tsuku-ru
像,5,statue,ゾウ zō
増,5,increase,ゾウ zō、ま-す ma-su、ふ-える fu-eru、ふ-やす fu-yasu
則,5,rule,ソク soku
測,5,fathom,ソク soku、はか-る haka-ru
属,5,belong,ゾク zoku
率,5,rate,ソツ sotsu、リツ ritsu、ひき-いる hiki-iru
損,5,loss,ソン son、そこ-なう soko-nau、そこ-ねる soko-neru
貸,5,lend,タイ tai、か-す ka-su
態,5,condition,タイ tai
団,5,group,ダン dan、（トン） (ton)
断,5,cut off,ダン dan、た-つ ta-tsu、ことわ-る kotowa-ru
築,5,fabricate,チク chiku、きず-く kizu-ku
貯,5,savings,チョ cho
張,5,stretch,チョウ chō、は-る ha-ru
停,5,halt,テイ tei
提,5,present,テイ tei、さ-げる sa-geru
程,5,extent,テイ tei、ほど hodo
適,5,suitable,テキ teki
統,5,unite,トウ tō、す-べる su-beru
堂,5,public chamber,ドウ dō
銅,5,copper,ドウ dō
導,5,guide,ドウ dō、みちび-く michibi-ku
得,5,acquire,トク toku、え-る e-ru、う-る u-ru
毒,5,poison,ドク doku
独,5,alone,ドク doku、ひと-り hito-ri
任,5,responsibility,ニン nin、まか-せる maka-seru、まか-す maka-su
燃,5,burn,ネン nen、も-える mo-eru、も-やす mo-yasu、も-す mo-su
能,5,ability,ノウ nō
破,5,rend,ハ ha、やぶ-る yabu-ru、やぶ-れる yabu-reru
犯,5,crime,ハン han、おか-す oka-su
判,5,judge,ハン han、バン ban
版,5,printing block,ハン han
比,5,compare,ヒ hi、くら-べる kura-beru
肥,5,fertilizer,ヒ hi、こ-える ko-eru、こえ koe、こ-やす ko-yasu、こ-やし ko-yashi
非,5,negative,ヒ hi
費,5,expense,ヒ hi、つい-やす tsui-yasu、つい-える tsui-eru
備,5,provide,ビ bi、そな-える sona-eru、そな-わる sona-waru
評,5,evaluate,ヒョウ hyō
貧,5,poor,ヒン hin、ビン bin、まず-しい mazu-shii
布,5,linen,フ fu、ぬの nuno
婦,5,lady,フ fu
武,5,military,ブ bu、ム mu
復,5,again,フク fuku
複,5,duplicate,フク fuku
仏,5,Buddha,ブツ butsu、ほとけ hotoke
粉,5,flour,フン fun、こ ko、こな kona
編,5,compile,ヘン hen、あ-む a-mu
弁,5,valve,ベン ben
保,5,preserve,ホ ho、たも-つ tamo-tsu
墓,5,grave,ボ bo、はか haka
報,5,report,ホウ hō、むく-いる muku-iru
豊,5,bountiful,ホウ hō、ゆた-か yuta-ka
防,5,prevent,ボウ bō、ふせ-ぐ fuse-gu
貿,5,trade,ボウ bō
暴,5,outburst,ボウ bō、（バク） (baku)、あば-く aba-ku、あば-れる aba-reru
脈,5,vein,ミャク myaku
務,5,duty,ム mu、つと-める tsuto-meru、つと-まる tsuto-maru
夢,5,dream,ム mu、ゆめ yume
迷,5,astray,メイ mei、まよ-う mayo-u
綿,5,cotton,メン men、わた wata
輸,5,transport,ユ yu
余,5,leave over,ヨ yo、あま-る ama-ru、あま-す ama-su
容,5,contain,ヨウ yō
略,5,abbreviation,リャク ryaku
留,5,detain,リュウ ryū、（ル） (ru)、と-める to-meru、と-まる to-maru
領,5,territory,リョウ ryō
歴,5,curriculum,レキ reki
