New (Shinjitai),Grade,English meaning,Readings
圧,5,pressure,アツ atsu
囲,5,surround,イ i、かこ-む kako-mu、かこ-う kako-u
移,5,shift,イ i、うつ-る utsu-ru、うつ-す utsu-su
因,5,cause,イン in、よ-る yo-ru
永,5,eternity,エイ ei、なが-い naga-i
営,5,manage,エイ ei、いとな-む itona-mu
衛,5,defense,エイ ei
易,5,easy,エキ eki、イ i、やさ-しい yasa-shii
益,5,benefit,エキ eki、（ヤク） (yaku)
液,5,fluid,エキ eki
演,5,perform,エン en
応,5,respond,オウ ō、こた-える kota-eru
往,5,outward journey,オウ ō
桜,5,cherry tree,オウ ō、さくら sakura
可,5,possible,カ ka
仮,5,temporary,カ ka、（ケ） (ke)、かり kari
価,5,value,カ ka、あたい atai
河,5,river,カ ka、かわ kawa
過,5,go beyond,カ ka、す-ぎる su-giru、す-ごす su-gosu、あやま-つ ayama-tsu、あやま-ち ayama-chi
快,5,cheerful,カイ kai、こころよ-い kokoroyo-i
解,5,untie,カイ kai、ゲ ge、と-く to-ku、と-かす to-kasu、と-ける to-keru
格,5,status,カク kaku、（コウ） (kō)
確,5,certain,カク kaku、たし-か tashi-ka、たし-かめる tashi-kameru
額,5,amount,ガク gaku、ひたい hitai
刊,5,publish,カン kan
幹,5,tree-trunk,カン kan、みき miki
慣,5,accustomed,カン kan、な-れる na-reru、な-らす na-rasu
眼,5,eyeball,ガン gan、（ゲン） (gen)、まなこ manako
紀,5,chronicle,キ ki
基,5,foundation,キ ki、もと moto、もとい motoi
寄,5,approach,キ ki、よ-る yo-ru、よ-せる yo-seru
規,5,rule,キ ki
喜,5,rejoice,キ ki、よろこ-ぶ yoroko-bu
技,5,skill,ギ gi、わざ waza
義,5,righteousness,ギ gi
逆,5,inverted,ギャク gyaku、さか saka、さか-らう saka-rau
久,5,long time,キュウ kyū、（ク） (ku)、ひさ-しい hisa-shii
旧,5,old times,キュウ kyū
救,5,salvation,キュウ kyū、すく-う suku-u
居,5,reside,キョ kyo、い-る i-ru
許,5,permit,キョ kyo、ゆる-す yuru-su
境,5,boundary,キョウ kyō、（ケイ） (kei)、さかい sakai
均,5,level,キン kin
禁,5,prohibition,キン kin
句,5,phrase,ク ku
型,5,model,ケイ kei、かた kata
経,5,manage,ケイ kei、キョウ kyō、へ-る he-ru
潔,5,undefiled,ケツ ketsu、いさぎよ-い isagiyo-i
件,5,affair,ケン ken
険,5,precipitous,ケン ken、けわ-しい kewa-shii
検,5,examine,ケン ken
限,5,limit,ゲン gen、かぎ-る kagi-ru
現,5,appear,ゲン gen、あらわ-れる arawa-reru、あらわ-す arawa-su
減,5,decrease,ゲン gen、へ-る he-ru、へ-らす he-rasu
故,5,circumstances,コ ko、ゆえ yue
個,5,individual,コ ko
護,5,safeguard,ゴ go
効,5,effect,コウ kō、き-く ki-ku
厚,5,thick,コウ kō、あつ-い atsu-i
耕,5,till,コウ kō、たがや-す tagaya-su
航,5,cruise,コウ kō
鉱,5,mineral,コウ kō
構,5,construct,コウ kō、かま-える kama-eru、かま-う kama-u
興,5,entertain,コウ kō、キョウ kyō、おこ-る oko-ru、おこ-す oko-su
講,5,lecture,コウ kō
告,5,tell,コク koku、つ-げる tsu-geru
混,5,mix,コン kon、ま-じる ma-jiru、ま-ざる ma-zaru、ま-ぜる ma-zeru、こ-む ko-mu
査,5,investigate,サ sa
再,5,again,サイ sai、（サ） (sa)、ふたた-び futata-bi
災,5,disaster,サイ sai、わざわ-い wazawa-i
妻,5,wife,サイ sai、つま tsuma
採,5,pick,サイ sai、と-る to-ru
際,5,occasion,サイ sai、きわ kiwa
在,5,exist,ザイ zai、あ-る a-ru
財,5,wealth,ザイ zai、（サイ） (sai)
罪,5,guilt,ザイ zai、つみ tsumi
殺,5,kill,サツ satsu、（サイ） (sai)、（セツ） (setsu)、ころ-す koro-su
雑,5,miscellaneous,ザツ zatsu、ゾウ zō
酸,5,acid,サン san、す-い su-i
賛,5,approve,サン san
士,5,gentleman,シ shi
支,5,branch,シ shi、ささ-える sasa-eru
史,5,history,シ shi
志,5,intention,シ shi、こころざ-す kokoroza-su、こころざし kokorozashi
枝,5,branch,シ shi、えだ eda
師,5,expert,シ shi
資,5,resources,シ shi
飼,5,domesticate,シ shi、か-う ka-u
示,5,indicate,ジ ji、シ shi、しめ-す shime-su
似,5,becoming,ジ ji、に-る ni-ru
識,5,discriminating,シキ shiki
質,5,quality,シツ shitsu、シチ shichi、（チ） (chi)
舎,5,cottage,シャ sha
謝,5,apologize,シャ sha、あやま-る ayama-ru
授,5,instruct,ジュ ju、さず-ける sazu-keru、さず-かる sazu-karu
