New (Shinjitai),Grade,English meaning,Readings
踪,S,remains,ソウ sō
燥,S,parch,ソウ sō
霜,S,frost,ソウ sō、しも shimo
騒,S,boisterous,ソウ sō、さわ-ぐ sawa-gu
藻,S,seaweed,ソウ sō、も mo
憎,S,hate,ゾウ zō、にく-む niku-mu、にく-い niku-i、にく-らしい niku-rashii、にく-しみ niku-shimi
贈,S,presents,ゾウ zō、（ソウ） (sō)、おく-る oku-ru
即,S,instant,ソク soku
促,S,stimulate,ソク soku、うなが-す unaga-su
捉,S,capture,ソク soku、とら-える tora-eru
俗,S,vulgar,ゾク zoku
賊,S,burglar,ゾク zoku
遜 [8],S,humble,ソン son
汰,S,luxury,タ ta
妥,S,gentle,ダ da
唾,S,saliva,ダ da、つば tsuba
堕,S,degenerate,ダ da
惰,S,lazy,ダ da
駄,S,burdensome,ダ da
耐,S,resistant,タイ tai、た-える ta-eru
怠,S,neglect,タイ tai、おこた-る okota-ru、なま-ける nama-keru
胎,S,womb,タイ tai
泰,S,peaceful,タイ tai
堆,S,piled high,タイ tai
袋,S,sack,タイ tai、ふくろ fukuro
逮,S,apprehend,タイ tai
替,S,exchange,タイ tai、か-える ka-eru、か-わる ka-waru
滞,S,stagnate,タイ tai、とどこお-る todokoo-ru
戴,S,be crowned with,タイ tai
滝,S,waterfall,たき taki
択,S,choose,タク taku
沢,S,swamp,タク taku、さわ sawa
卓,S,eminent,タク taku
拓,S,clear (the land),タク taku
託,S,consign,タク taku
濯,S,laundry,タク taku
諾,S,consent,ダク daku
濁,S,voiced,ダク daku、にご-る nigo-ru、にご-す nigo-su
但,S,however,ただ-し tada-shi
脱,S,undress,ダツ datsu、ぬ-ぐ nu-gu、ぬ-げる nu-geru
奪,S,rob,ダツ datsu、うば-う uba-u
棚,S,shelf,たな tana
誰,S,who (question word),だれ dare
丹,S,cinnabar,タン tan
旦,S,daybreak,タン tan、ダン dan
胆,S,gall bladder,タン tan
淡,S,thin,タン tan、あわ-い awa-i
嘆,S,sigh,タン tan、なげ-く nage-ku、なげ-かわしい nage-kawashii
端,S,edge,タン tan、はし hashi、は ha、はた hata
綻,S,rip,タン tan、ほころ-びる hokoro-biru
鍛,S,forge,タン tan、きた-える kita-eru
弾,S,bullet,ダン dan、ひ-く hi-ku、はず-む hazu-mu、たま tama
壇,S,podium,ダン dan、（タン） (tan)
恥,S,shame,チ chi、は-じる ha-jiru、はじ haji、は-じらう ha-jirau、は-ずかしい ha-zukashii
致,S,(to) do,チ chi、いた-す ita-su
遅,S,slow,チ chi、おく-れる oku-reru、おく-らす oku-rasu、おそ-い oso-i
痴,S,stupid,チ chi
稚,S,immature,チ chi
緻,S,fine (not coarse),チ chi
畜,S,livestock,チク chiku
逐,S,pursue,チク chiku
蓄,S,amass,チク chiku、たくわ-える takuwa-eru
秩,S,regularity,チツ chitsu
窒,S,plug up,チツ chitsu
嫡,S,legitimate wife,チャク chaku
抽,S,pluck,チュウ chū
衷,S,inmost,チュウ chū
酎,S,sake,チュウ chū
鋳,S,casting,チュウ chū、い-る i-ru
駐,S,stop-over,チュウ chū
弔,S,condolences,チョウ chō、とむら-う tomura-u
挑,S,challenge,チョウ chō、いど-む ido-mu
彫,S,carve,チョウ chō、ほ-る ho-ru
眺,S,stare,チョウ chō、なが-める naga-meru
釣,S,angling,チョウ chō、つ-る tsu-ru
貼,S,paste,チョウ chō、は-る ha-ru
超,S,transcend,チョウ chō、こ-える ko-eru、こ-す ko-su
跳,S,hop,チョウ chō、は-ねる ha-neru、と-ぶ to-bu
徴,S,indications,チョウ chō
嘲 [7],S,ridicule,チョウ chō、あざけ-る azake-ru
澄,S,lucidity,チョウ chō、す-む su-mu、す-ます su-masu
聴,S,listen,チョウ chō、き-く ki-ku
懲,S,penal,チョウ chō、こ-りる ko-riru、こ-らす ko-rasu、こ-らしめる ko-rashimeru
勅,S,imperial order,チョク choku
捗 [7],S,make progress,チョク choku
沈,S,sink,チン chin、しず-む shizu-mu、しず-める shizu-meru
珍,S,rare,チン chin、めずら-しい mezura-shii
朕,S,majestic plural,チン chin
陳,S,exhibit,チン chin
鎮,S,tranquilize,チン chin、しず-める shizu-meru、しず-まる shizu-maru
椎,S,oak,ツイ tsui
墜,S,crash,ツイ tsui
塚,S,hillock,つか tsuka
漬,S,pickling,つ-ける tsu-keru、つ-かる tsu-karu
坪,S,two-mat area,つぼ tsubo
爪,S,claw,つめ tsume、（つま） (tsuma)
鶴,S,crane,つる tsuru
呈,S,display,テイ tei
廷,S,courts,テイ tei
抵,S,resist,テイ tei
邸,S,residence,テイ tei
亭,S,pavilion,テイ tei
貞,S,upright,テイ tei
帝,S,sovereign,テイ tei
訂,S,revise,テイ tei
逓,S,relay,テイ tei
偵,S,spy,テイ tei
堤,S,dike,テイ tei、つつみ tsutsumi
艇,S,rowboat,テイ tei
締,S,tighten,テイ tei、し-まる shi-maru、し-める shi-meru
諦,S,abandon,テイ tei、あきら-める akira-meru
泥,S,mud,デイ dei、どろ doro
摘,S,pinch,テキ teki、つ-む tsu-mu
滴,S,drip,テキ teki、しずく shizuku、したた-る shitata-ru
溺 [7],S,drown,デキ deki、おぼ-れる obo-reru
迭,S,transfer,テツ tetsu
哲,S,philosophy,テツ tetsu
徹,S,penetrate,テツ tetsu
撤,S,remove,テツ tetsu
添,S,annexed,テン ten、そ-える so-eru、そ-う so-u
塡 [7],S,fill in,テン ten
殿,S,Mr.,デン den、テン ten、との tono、どの dono
斗,S,Big Dipper,ト to
吐,S,spit,ト to、は-く ha-ku
妬,S,jealousy,ト to、ねた-む neta-mu
途,S,route,ト to
渡,S,transit,ト to、わた-る wata-ru、わた-す wata-su
塗,S,paint,ト to、ぬ-る nu-ru
賭 [7],S,gamble,ト to、か-ける ka-keru
奴,S,guy,ド do
怒,S,angry,ド do、いか-る ika-ru、おこ-る oko-ru
到,S,arrival,トウ tō
逃,S,escape,トウ tō、に-げる ni-geru、に-がす ni-gasu、のが-す noga-su、のが-れる noga-reru
倒,S,overthrow,トウ tō、たお-れる tao-reru、たお-す tao-su
凍,S,frozen,トウ tō、こお-る koo-ru、こご-える kogo-eru
唐,S,T'ang,トウ tō、から kara
桃,S,peach tree,トウ tō、もも momo
透,S,transparent,トウ tō、す-く su-ku、す-かす su-kasu、す-ける su-keru
悼,S,lament,トウ tō、いた-む ita-mu
盗,S,steal,トウ tō、ぬす-む nusu-mu
陶,S,pottery,トウ tō
塔,S,pagoda,トウ tō
搭,S,board,トウ tō
棟,S,ridgepole,トウ tō、むね mune、（むな） (muna)
痘,S,pox,トウ tō
筒,S,cylinder,トウ tō、つつ tsutsu
稲,S,rice plant,トウ tō、いね ine、（いな） (ina)
踏,S,step,トウ tō、ふ-む fu-mu、ふ-まえる fu-maeru
謄,S,mimeograph,トウ tō
藤,S,wisteria,トウ tō、ふじ fuji
闘,S,fight,トウ tō、たたか-う tataka-u
騰,S,inflation,トウ tō
洞,S,den,ドウ dō、ほら hora
胴,S,trunk,ドウ dō
瞳,S,pupil,ドウ dō、ひとみ hitomi
峠,S,mountain peak,とうげ tōge
匿,S,hide,トク toku
督,S,coach,トク toku
篤,S,fervent,トク toku
凸,S,convex,トツ totsu
突,S,stab,トツ totsu、つ-く tsu-ku
屯,S,barracks,トン ton
豚,S,pork,トン ton、ぶた buta
頓,S,suddenly,トン ton
貪,S,covet,ドン don、むさぼ-る musabo-ru
鈍,S,dull,ドン don、にぶ-い nibu-i、にぶ-る nibu-ru
曇,S,cloudy weather,ドン don、くも-る kumo-ru
丼,S,bowl of food,どんぶり donburi、（どん） (don)
那,S,what,ナ na
謎 [8],S,riddle,なぞ nazo
鍋,S,pot,なべ nabe
軟,S,soft,ナン nan、やわ-らか yawa-raka、やわ-らかい yawa-rakai
尼,S,nun,ニ ni、あま ama
弐,S,two (falsification prevention),ニ ni
匂,S,scent,にお-う nio-u
虹,S,rainbow,にじ niji
尿,S,urine,ニョウ nyō
妊,S,pregnancy,ニン nin
忍,S,endure,ニン nin、しの-ぶ shino-bu、しの-ばせる shino-baseru
寧,S,rather,ネイ nei
捻,S,twist,ネン nen
粘,S,sticky,ネン nen、ねば-る neba-ru
悩,S,trouble,ノウ nō、なや-む naya-mu、なや-ます naya-masu
濃,S,concentrated,ノウ nō、こ-い ko-i
把,S,grasp,ハ ha
覇,S,hegemony,ハ ha
婆,S,old woman,バ ba
罵,S,insult,バ ba、ののし-る nonoshi-ru
杯,S,counter for cupfuls,ハイ hai、さかずき sakazuki
排,S,repudiate,ハイ hai
廃,S,abolish,ハイ hai、すた-れる suta-reru、すた-る suta-ru
輩,S,comrade,ハイ hai
培,S,cultivate,バイ bai、つちか-う tsuchika-u
陪,S,obeisance,バイ bai
媒,S,mediator,バイ bai
賠,S,compensation,バイ bai
伯,S,chief,ハク haku
拍,S,clap,ハク haku、（ヒョウ） (hyō)
泊,S,overnight,ハク haku、と-まる to-maru、と-める to-meru
迫,S,urge,ハク haku、せま-る sema-ru
剝 [7],S,peel,ハク haku、は-がす ha-gasu、は-ぐ ha-gu、は-がれる ha-gareru、は-げる ha-geru
舶,S,liner,ハク haku
薄,S,dilute,ハク haku、うす-い usu-i、うす-める usu-meru、うす-まる usu-maru、うす-らぐ usu-ragu、うす-れる usu-reru
漠,S,vague,バク baku
縛,S,truss,バク baku、しば-る shiba-ru
爆,S,explode,バク baku
箸 [7],S,chopsticks,はし hashi
肌,S,texture,はだ hada
鉢,S,bowl,ハチ hachi、（ハツ） (hatsu)
髪,S,hair of the head,ハツ hatsu、かみ kami
伐,S,fell,バツ batsu
抜,S,slip out,バツ batsu、ぬ-く nu-ku、ぬ-ける nu-keru、ぬ-かす nu-kasu、ぬ-かる nu-karu
罰,S,penalty,バツ batsu、バチ bachi
閥,S,clique,バツ batsu
氾,S,spread out,ハン han
帆,S,sail,ハン han、ほ ho
汎,S,pan-,ハン han
伴,S,consort,ハン han、バン ban、ともな-う tomona-u
畔,S,paddy-ridge,ハン han
般,S,generally,ハン han
販,S,marketing,ハン han
斑,S,blemish,ハン han
搬,S,conveyor,ハン han
煩,S,anxiety,ハン han、（ボン） (bon)、わずら-う wazura-u、わずら-わす wazura-wasu
頒,S,partition,ハン han
範,S,pattern,ハン han
繁,S,luxuriant,ハン han
藩,S,clan,ハン han
蛮,S,barbarian,バン ban
盤,S,tray,バン ban
妃,S,queen,ヒ hi
彼,S,he,ヒ hi、かれ kare、（かの） (kano)
披,S,expose,ヒ hi
卑,S,lowly,ヒ hi、いや-しい iya-shii、いや-しむ iya-shimu、いや-しめる iya-shimeru
疲,S,exhausted,ヒ hi、つか-れる tsuka-reru
被,S,incur,ヒ hi、こうむ-る kōmu-ru
扉,S,front door,ヒ hi、とびら tobira
碑,S,tombstone,ヒ hi
罷,S,quit,ヒ hi
避,S,evade,ヒ hi、さ-ける sa-keru
尾,S,tail,ビ bi、お o
眉,S,eyebrow,ビ bi、（ミ） (mi)、まゆ mayu
微,S,delicate,ビ bi
膝,S,knee,ひざ hiza
肘,S,elbow,ひじ hiji
匹,S,equal,ヒツ hitsu、ひき hiki
泌,S,ooze,ヒツ hitsu、ヒ hi
姫,S,princess,ひめ hime
漂,S,drift,ヒョウ hyō、ただよ-う tadayo-u
苗,S,seedling,ビョウ byō、なえ nae、（なわ） (nawa)
描,S,sketch,ビョウ byō、えが-く ega-ku、か-く ka-ku
猫,S,cat,ビョウ byō、ねこ neko
浜,S,seacoast,ヒン hin、はま hama
賓,S,V.I.P.,ヒン hin
頻,S,repeatedly,ヒン hin
敏,S,cleverness,ビン bin
瓶,S,flower pot,ビン bin
扶,S,aid,フ fu
怖,S,dreadful,フ fu、こわ-い kowa-i
附,S,affixed,フ fu
訃,S,obituary,フ fu
赴,S,proceed,フ fu、おもむ-く omomu-ku
浮,S,floating,フ fu、う-く u-ku、う-かれる u-kareru、う-かぶ u-kabu、う-かべる u-kaberu
符,S,token,フ fu
普,S,universal,フ fu
腐,S,rot,フ fu、くさ-る kusa-ru、くさ-れる kusa-reru、くさ-らす kusa-rasu
敷,S,spread,フ fu、し-く shi-ku
膚,S,skin,フ fu
賦,S,levy,フ fu
譜,S,musical score,フ fu
侮,S,scorn,ブ bu、あなど-る anado-ru
舞,S,dance,ブ bu、ま-う ma-u、まい mai
封,S,seal,フウ fū、ホウ hō
伏,S,prostrated,フク fuku、ふ-せる fu-seru、ふ-す fu-su
幅,S,breadth,フク fuku、はば haba
覆,S,capsize,フク fuku、おお-う oo-u、くつがえ-す kutsugae-su、くつがえ-る kutsugae-ru
払,S,pay,フツ futsu、はら-う hara-u
沸,S,seethe,フツ futsu、わ-く wa-ku、わ-かす wa-kasu
紛,S,distract,フン fun、まぎ-れる magi-reru、まぎ-らす magi-rasu、まぎ-らわす magi-rawasu、まぎ-らわしい magi-rawashii
雰,S,atmosphere,フン fun
噴,S,erupt,フン fun、ふ-く fu-ku
墳,S,tomb,フン fun
憤,S,aroused,フン fun、いきどお-る ikidoo-ru
丙,S,third class,ヘイ hei
併,S,join,ヘイ hei、あわ-せる awa-seru
柄,S,design,ヘイ hei、がら gara、え e
塀,S,fence,ヘイ hei
幣,S,cash,ヘイ hei
弊,S,abuse,ヘイ hei
蔽 [7],S,cover,ヘイ hei
餅 [8],S,mochi rice cake,ヘイ hei、もち mochi
壁,S,wall,ヘキ heki、かべ kabe
璧,S,sphere,ヘキ heki
癖,S,mannerism,ヘキ heki、くせ kuse
蔑,S,ignore,ベツ betsu、さげす-む sagesu-mu
偏,S,partial,ヘン hen、かたよ-る katayo-ru
遍,S,everywhere,ヘン hen
哺,S,suckle,ホ ho
捕,S,catch,ホ ho、と-らえる to-raeru、と-らわれる to-rawareru、と-る to-ru、つか-まえる tsuka-maeru、つか-まる tsuka-maru
舗,S,pavement,ホ ho
募,S,recruit,ボ bo、つの-る tsuno-ru
慕,S,pining,ボ bo、した-う shita-u
簿,S,register,ボ bo
芳,S,perfume,ホウ hō、かんば-しい kanba-shii
邦,S,home country,ホウ hō
奉,S,observance,ホウ hō、（ブ） (bu)、たてまつ-る tatematsu-ru
抱,S,embrace,ホウ hō、だ-く da-ku、いだ-く ida-ku、かか-える kaka-eru
泡,S,bubbles,ホウ hō、あわ awa
胞,S,placenta,ホウ hō
俸,S,salary,ホウ hō
倣,S,emulate,ホウ hō、なら-う nara-u
峰,S,summit,ホウ hō、みね mine
砲,S,cannon,ホウ hō
崩,S,crumble,ホウ hō、くず-れる kuzu-reru、くず-す kuzu-su
蜂,S,bee,ホウ hō、はち hachi
飽,S,sated,ホウ hō、あ-きる a-kiru、あ-かす a-kasu
褒,S,praise,ホウ hō、ほ-める ho-meru
縫,S,sew,ホウ hō、ぬ-う nu-u
乏,S,scarce,ボウ bō、とぼ-しい tobo-shii
忙,S,busy,ボウ bō、いそが-しい isoga-shii
坊,S,boy,ボウ bō、（ボッ） (bo')
妨,S,disturb,ボウ bō、さまた-げる samata-geru
房,S,tassel,ボウ bō、ふさ fusa
肪,S,obese,ボウ bō
某,S,so-and-so,ボウ bō
冒,S,risk,ボウ bō、おか-す oka-su
剖,S,divide,ボウ bō
紡,S,spinning,ボウ bō、つむ-ぐ tsumu-gu
傍,S,bystander,ボウ bō、かたわ-ら katawa-ra
帽,S,cap,ボウ bō
貌,S,appearance,ボウ bō
膨,S,swell,ボウ bō、ふく-らむ fuku-ramu、ふく-れる fuku-reru
謀,S,conspire,ボウ bō、（ム） (mu)、はか-る haka-ru
頰 [7],S,cheek,ほお hoo
朴,S,crude,ボク boku
睦,S,harmonious,ボク boku
僕,S,me,ボク boku
墨,S,black ink,ボク boku、すみ sumi
撲,S,slap,ボク boku
没,S,drown,ボツ botsu
勃,S,rise,ボツ botsu
堀,S,ditch,ほり hori
奔,S,bustle,ホン hon
翻,S,flip,ホン hon、ひるがえ-る hirugae-ru、ひるがえ-す hirugae-su
凡,S,mediocre,ボン bon、（ハン） (han)
盆,S,basin,ボン bon
麻,S,hemp,マ ma、あさ asa
摩,S,chafe,マ ma
磨,S,grind,マ ma、みが-く miga-ku
魔,S,witch,マ ma
昧,S,foolish,マイ mai
埋,S,bury,マイ mai、う-める u-meru、う-まる u-maru、う-もれる u-moreru
膜,S,membrane,マク maku
枕,S,pillow,まくら makura
又,S,or again,また mata
抹,S,rub,マツ matsu
慢,S,ridicule,マン man
漫,S,cartoon,マン man
魅,S,fascination,ミ mi
岬,S,headland,みさき misaki
蜜,S,honey,ミツ mitsu
妙,S,exquisite,ミョウ myō
眠,S,sleep,ミン min、ねむ-る nemu-ru、ねむ-い nemu-i
矛,S,halberd,ム mu、ほこ hoko
霧,S,fog,ム mu、きり kiri
娘,S,daughter,むすめ musume
冥,S,dark,メイ mei、ミョウ myō
銘,S,inscription,メイ mei
滅,S,destroy,メツ metsu、ほろ-びる horo-biru、ほろ-ぼす horo-bosu
免,S,excuse,メン men、まぬか-れる manuka-reru
麺,S,noodles,メン men
茂,S,overgrown,モ mo、しげ-る shige-ru
妄,S,delusion,モウ mō、ボウ bō
盲,S,blind,モウ mō
耗,S,decrease,モウ mō、（コウ） (kō)
猛,S,fierce,モウ mō
網,S,netting,モウ mō、あみ ami
黙,S,silence,モク moku、だま-る dama-ru
紋,S,family crest,モン mon
冶,S,melting,ヤ ya
弥,S,all the more,や ya
厄,S,unlucky,ヤク yaku
躍,S,leap,ヤク yaku、おど-る odo-ru
闇,S,darkness,やみ yami
喩,S,metaphor,ユ yu
愉,S,pleasure,ユ yu
諭,S,rebuke,ユ yu、さと-す sato-su
癒,S,healing,ユ yu、い-える i-eru、い-やす i-yasu
唯,S,solely,ユイ yui、（イ） (i)
幽,S,seclude,ユウ yū
悠,S,permanence,ユウ yū
湧,S,boil,ユウ yū、わ-く wa-ku
猶,S,furthermore,ユウ yū
裕,S,abundant,ユウ yū
雄,S,male,ユウ yū、お o、おす osu
誘,S,entice,ユウ yū、さそ-う saso-u
憂,S,melancholy,ユウ yū、うれ-える ure-eru、うれ-い ure-i、う-い u-i
融,S,dissolve,ユウ yū
与,S,give,ヨ yo、あた-える ata-eru
誉,S,reputation,ヨ yo、ほま-れ homa-re
妖,S,bewitching,ヨウ yō、あや-しい aya-shii
庸,S,commonplace,ヨウ yō
揚,S,hoist,ヨウ yō、あ-げる a-geru、あ-がる a-garu
揺,S,swing,ヨウ yō、ゆ-れる yu-reru、ゆ-る yu-ru、ゆ-らぐ yu-ragu、ゆ-るぐ yu-rugu、ゆ-する yu-suru、ゆ-さぶる yu-saburu、ゆ-すぶる yu-suburu
溶,S,melt,ヨウ yō、と-ける to-keru、と-かす to-kasu、と-く to-ku
腰,S,loins,ヨウ yō、こし koshi
瘍,S,boil (medical),ヨウ yō
踊,S,jump,ヨウ yō、おど-る odo-ru、おど-り odo-ri
窯,S,kiln,ヨウ yō、かま kama
擁,S,embrace,ヨウ yō
謡,S,noh chanting,ヨウ yō、うたい utai、うた-う uta-u
抑,S,repress,ヨク yoku、おさ-える osa-eru
沃,S,fertility,ヨク yoku
翼,S,wing,ヨク yoku、つばさ tsubasa
拉,S,crush,ラ ra
裸,S,naked,ラ ra、はだか hadaka
羅,S,gauze,ラ ra
雷,S,thunder,ライ rai、かみなり kaminari
頼,S,trust,ライ rai、たの-む tano-mu、たの-もしい tano-moshii、たよ-る tayo-ru
絡,S,entwine,ラク raku、から-む kara-mu、から-まる kara-maru、から-める kara-meru
酪,S,dairy products,ラク raku
辣,S,bitter,ラツ ratsu
濫,S,excessive,ラン ran
藍,S,indigo,ラン ran、あい ai
欄,S,column,ラン ran
吏,S,officer,リ ri
痢,S,diarrhea,リ ri
履,S,footgear,リ ri、は-く ha-ku
璃,S,glassy,リ ri
離,S,detach,リ ri、はな-れる hana-reru、はな-す hana-su
慄,S,fear,リツ ritsu
柳,S,willow,リュウ ryū、やなぎ yanagi
竜,S,dragon,リュウ ryū、たつ tatsu
粒,S,grains,リュウ ryū、つぶ tsubu
隆,S,hump,リュウ ryū
硫,S,sulphur,リュウ ryū
侶,S,companion,リョ ryo
虜,S,captive,リョ ryo
慮,S,prudence,リョ ryo
了,S,finish,リョウ ryō
涼,S,refreshing,リョウ ryō、すず-しい suzu-shii、すず-む suzu-mu
猟,S,game-hunting,リョウ ryō
陵,S,mausoleum,リョウ ryō、みささぎ misasagi
僚,S,colleague,リョウ ryō
寮,S,dormitory,リョウ ryō
療,S,heal,リョウ ryō
瞭,S,clear,リョウ ryō
糧,S,provisions,リョウ ryō、（ロウ） (rō)、かて kate
厘,S,thousandth,リン rin
倫,S,ethics,リン rin
隣,S,neighboring,リン rin、とな-る tona-ru、となり tonari
瑠,S,lapis lazuli,ル ru
涙,S,tears,ルイ rui、なみだ namida
累,S,accumulate,ルイ rui
塁,S,bases,ルイ rui
励,S,encourage,レイ rei、はげ-む hage-mu、はげ-ます hage-masu
戻,S,re-,レイ rei、もど-す modo-su、もど-る modo-ru
鈴,S,small bell,レイ rei、リン rin、すず suzu
零,S,zero,レイ rei
霊,S,spirits,レイ rei、リョウ ryō、たま tama
隷,S,slave,レイ rei
齢,S,age,レイ rei
麗,S,lovely,レイ rei、うるわ-しい uruwa-shii
暦,S,calendar,レキ reki、こよみ koyomi
劣,S,inferiority,レツ retsu、おと-る oto-ru
烈,S,ardent,レツ retsu
裂,S,split,レツ retsu、さ-く sa-ku、さ-ける sa-keru
恋,S,romance,レン ren、こ-う ko-u、こい koi、こい-しい koi-shii
廉,S,bargain,レン ren
錬,S,tempering,レン ren
呂,S,spine,ロ ro
炉,S,hearth,ロ ro
賂,S,bribe,ロ ro
露,S,dew,ロ ro、（ロウ） (rō)、つゆ tsuyu
弄,S,tamper with,ロウ rō、もてあそ-ぶ moteaso-bu
郎,S,son,ロウ rō
浪,S,wandering,ロウ rō
廊,S,corridor,ロウ rō
楼,S,watchtower,ロウ rō
漏,S,leak,ロウ rō、も-る mo-ru、も-れる mo-reru、も-らす mo-rasu
籠,S,basket,ロウ rō、かご kago、こ-もる ko-moru
麓,S,foot of a mountain,ロク roku、ふもと fumoto
賄,S,bribe,ワイ wai、まかな-う makana-u
脇,S,aside,わき waki
惑,S,beguile,ワク waku、まど-う mado-u
枠,S,frame,わく waku
湾,S,gulf,ワン wan
腕,S,arm,ワン wan、うで ude
