New (Shinjitai),Grade,English meaning,Readings
寛,S,tolerant,カン kan
歓,S,delight,カン kan
監,S,oversee,カン kan
緩,S,slacken,カン kan、ゆる-い yuru-i、ゆる-やか yuru-yaka、ゆる-む yuru-mu、ゆる-める yuru-meru
憾,S,remorse,カン kan
還,S,send back,カン kan
環,S,ring,カン kan
韓 [5],S,Korea,カン kan
艦,S,warship,カン kan
鑑,S,specimen,カン kan、かんが-みる kanga-miru
含,S,include,ガン gan、ふく-む fuku-mu、ふく-める fuku-meru
玩,S,trifle with,ガン gan
頑,S,stubborn,ガン gan
企,S,plan,キ ki、くわだ-てる kuwada-teru
伎,S,deed,キ ki
忌,S,mourning,キ ki、い-む i-mu、い-まわしい i-mawashii
奇,S,strange,キ ki
祈,S,pray,キ ki、いの-る ino-ru
軌,S,rut,キ ki
既,S,previously,キ ki、すで-に sude-ni
飢,S,hungry,キ ki、う-える u-eru
鬼,S,ghost,キ ki、おに oni
亀,S,turtle,キ ki、かめ kame
幾,S,how many,キ ki、いく iku
棋,S,chess piece,キ ki
棄,S,abandon,キ ki
毀,S,destroy,キ ki
畿,S,capital,キ ki
輝,S,radiance,キ ki、かがや-く kagaya-ku
騎,S,equestrian,キ ki
宜,S,best regards,ギ gi
偽,S,falsehood,ギ gi、いつわ-る itsuwa-ru、にせ nise
欺,S,deceit,ギ gi、あざむ-く azamu-ku
儀,S,ceremony,ギ gi
戯,S,frolic,ギ gi、たわむ-れる tawamu-reru
擬,S,mimic,ギ gi
犠,S,sacrifice,ギ gi
菊,S,chrysanthemum,キク kiku
吉,S,good luck,キチ kichi、キツ kitsu
喫,S,consume,キツ kitsu
詰,S,packed,キツ kitsu、つ-める tsu-meru、つ-まる tsu-maru、つ-む tsu-mu
却,S,instead,キャク kyaku
脚,S,leg,キャク kyaku、（キャ） (kya)、あし ashi
虐,S,tyrannize,ギャク gyaku、しいた-げる shiita-geru
及,S,reach out,キュウ kyū、およ-ぶ oyo-bu、およ-び oyo-bi、およ-ぼす oyo-bosu
丘,S,hill,キュウ kyū、おか oka
朽,S,decay,キュウ kyū、く-ちる ku-chiru
臼,S,mortar,キュウ kyū、うす usu
糾,S,twist,キュウ kyū
嗅,S,smell,キュウ kyū、か-ぐ ka-gu
窮,S,hard up,キュウ kyū、きわ-める kiwa-meru、きわ-まる kiwa-maru
巨,S,gigantic,キョ kyo
拒,S,repel,キョ kyo、こば-む koba-mu
拠,S,foothold,キョ kyo、コ ko
虚,S,void,キョ kyo、（コ） (ko)
距,S,long-distance,キョ kyo
御,S,honorable,ギョ gyo、ゴ go、おん on
凶,S,villain,キョウ kyō
叫,S,shout,キョウ kyō、さけ-ぶ sake-bu
狂,S,lunatic,キョウ kyō、くる-う kuru-u、くる-おしい kuru-oshii
享,S,receive,キョウ kyō
況,S,condition,キョウ kyō
峡,S,gorge,キョウ kyō
挟,S,pinch,キョウ kyō、はさ-む hasa-mu、はさ-まる hasa-maru
狭,S,cramped,キョウ kyō、せま-い sema-i、せば-める seba-meru、せば-まる seba-maru
恐,S,fear,キョウ kyō、おそ-れる oso-reru、おそ-ろしい oso-roshii
恭,S,respect,キョウ kyō、うやうや-しい uyauya-shii
脅,S,threaten,キョウ kyō、おびや-かす obiya-kasu、おど-す odo-su、おど-かす odo-kasu
矯,S,rectify,キョウ kyō、た-める ta-meru
響,S,echo,キョウ kyō、ひび-く hibi-ku
驚,S,wonder,キョウ kyō、おどろ-く odoro-ku、おどろ-かす odoro-kasu
仰,S,face-up,ギョウ gyō、（コウ） (kō)、あお-ぐ ao-gu、おお-せ oo-se
暁,S,daybreak,ギョウ gyō、あかつき akatsuki
凝,S,congeal,ギョウ gyō、こ-る ko-ru、こ-らす ko-rasu
巾,S,towel,キン kin
斤,S,axe,キン kin
菌,S,germ,キン kin
琴,S,harp,キン kin、こと koto
僅 [7],S,a wee bit,キン kin、わず-か wazu-ka
緊,S,tense,キン kin
錦,S,brocade,キン kin、にしき nishiki
謹,S,discreet,キン kin、つつし-む tsutsushi-mu
襟,S,collar,キン kin、えり eri
吟,S,versify,ギン gin
駆,S,drive,ク ku、か-ける ka-keru、か-る ka-ru
惧,S,dread,グ gu
愚,S,foolish,グ gu、おろ-か oro-ka
偶,S,accidentally,グウ gū
遇,S,interview,グウ gū
隅,S,corner,グウ gū、すみ sumi
串,S,skewer,くし kushi
屈,S,yield,クツ kutsu
掘,S,dig,クツ kutsu、ほ-る ho-ru
窟,S,cavern,クツ kutsu
繰,S,winding,く-る ku-ru
勲,S,meritorious deed,クン kun
薫,S,fragrant,クン kun、かお-る kao-ru
刑,S,punish,ケイ kei
茎,S,stalk,ケイ kei、くき kuki
契,S,pledge,ケイ kei、ちぎ-る chigi-ru
恵,S,favor,ケイ kei、エ e、めぐ-む megu-mu
啓,S,disclose,ケイ kei
掲,S,put up (a notice),ケイ kei、かか-げる kaka-geru
渓,S,mountain stream,ケイ kei
蛍,S,lightning-bug,ケイ kei、ほたる hotaru
傾,S,lean,ケイ kei、かたむ-く katamu-ku、かたむ-ける katamu-keru
携,S,portable,ケイ kei、たずさ-える tazusa-eru、たずさ-わる tazusa-waru
継,S,inherit,ケイ kei、つ-ぐ tsu-gu
詣,S,visit a temple,ケイ kei、もう-でる mō-deru
慶,S,jubilation,ケイ kei
憬,S,long for,ケイ kei
稽,S,consider,ケイ kei
憩,S,recess,ケイ kei、いこ-い iko-i、いこ-う iko-u
鶏,S,chicken,ケイ kei、にわとり niwatori
迎,S,welcome,ゲイ gei、むか-える muka-eru
鯨,S,whale,ゲイ gei、くじら kujira
隙,S,fissure,ゲキ geki、すき suki
撃,S,beat,ゲキ geki、う-つ u-tsu
桁,S,beam,けた keta
傑,S,greatness,ケツ ketsu
肩,S,shoulder,ケン ken、かた kata
倹,S,frugal,ケン ken
兼,S,concurrently,ケン ken、か-ねる ka-neru
剣,S,sabre,ケン ken、つるぎ tsurugi
拳,S,fist,ケン ken、こぶし kobushi
軒,S,flats,ケン ken、のき noki
圏,S,sphere,ケン ken
堅,S,strict,ケン ken、かた-い kata-i
嫌,S,dislike,ケン ken、（ゲン） (gen)、きら-う kira-u、いや iya
献,S,offering,ケン ken、（コン） (kon)
遣,S,dispatch,ケン ken、つか-う tsuka-u、つか-わす tsuka-wasu
賢,S,intelligent,ケン ken、かしこ-い kashiko-i
謙,S,self-effacing,ケン ken
鍵,S,key,ケン ken、かぎ kagi
繭,S,cocoon,ケン ken、まゆ mayu
顕,S,appear,ケン ken
懸,S,suspend,ケン ken、（ケ） (ke)、か-ける ka-keru、か-かる ka-karu
幻,S,phantasm,ゲン gen、まぼろし maboroshi
玄,S,mysterious,ゲン gen
弦,S,bowstring,ゲン gen、つる tsuru
舷,S,gunwale,ゲン gen
股,S,crotch,コ ko、また mata
虎,S,tiger,コ ko、とら tora
孤,S,orphan,コ ko
弧,S,arc,コ ko
枯,S,wither,コ ko、か-れる ka-reru、か-らす ka-rasu
雇,S,employ,コ ko、やと-う yato-u
誇,S,boast,コ ko、ほこ-る hoko-ru
鼓,S,drum,コ ko、つづみ tsuzumi
錮,S,tie up,コ ko
顧,S,look back,コ ko、かえり-みる kaeri-miru
互,S,mutually,ゴ go、たが-い taga-i
呉,S,give,ゴ go
娯,S,recreation,ゴ go
悟,S,enlightenment,ゴ go、さと-る sato-ru
碁,S,Go,ゴ go
勾,S,capture,コウ kō
孔,S,cavity,コウ kō
巧,S,adroit,コウ kō、たく-み taku-mi
甲,S,armor,コウ kō、カン kan
江,S,inlet,コウ kō、え e
坑,S,pit,コウ kō
抗,S,confront,コウ kō
攻,S,aggression,コウ kō、せ-める se-meru
更,S,grow late,コウ kō、さら sara、ふ-ける fu-keru、ふ-かす fu-kasu
拘,S,arrest,コウ kō
肯,S,agreement,コウ kō
侯,S,marquis,コウ kō
恒,S,constancy,コウ kō
洪,S,deluge,コウ kō
荒,S,laid waste,コウ kō、あら-い ara-i、あ-れる a-reru、あ-らす a-rasu
郊,S,outskirts,コウ kō
貢,S,tribute,コウ kō、（ク） (ku)、みつ-ぐ mitsu-gu
控,S,withdraw,コウ kō、ひか-える hika-eru
梗,S,close up,コウ kō
喉,S,throat,コウ kō、のど nodo
慌,S,disconcerted,コウ kō、あわ-てる awa-teru、あわ-ただしい awa-tadashii
硬,S,stiff,コウ kō、かた-い kata-i
絞,S,strangle,コウ kō、しぼ-る shibo-ru、し-める shi-meru、し-まる shi-maru
項,S,paragraph,コウ kō
溝,S,gutter,コウ kō、みぞ mizo
綱,S,hawser,コウ kō、つな tsuna
酵,S,fermentation,コウ kō
稿,S,draft,コウ kō
衡,S,equilibrium,コウ kō
購,S,subscription,コウ kō
乞,S,beg,こ-う ko-u
拷,S,torture,ゴウ gō
剛,S,sturdy,ゴウ gō
傲,S,be proud,ゴウ gō
豪,S,overpowering,ゴウ gō
克,S,overcome,コク koku
酷,S,cruel,コク koku
獄,S,prison,ゴク goku
駒,S,horse,こま koma
込,S,crowded,こ-む ko-mu、こ-める ko-meru
頃,S,times,ころ koro
昆,S,descendants,コン kon
恨,S,rancor,コン kon、うら-む ura-mu、うら-めしい ura-meshii
婚,S,marriage,コン kon
痕,S,mark,コン kon、あと ato
紺,S,dark blue,コン kon
魂,S,soul,コン kon、たましい tamashii
墾,S,ground-breaking,コン kon
懇,S,sociable,コン kon、ねんご-ろ nengo-ro
沙,S,sand,サ sa
唆,S,tempt,サ sa、そそのか-す sosonoka-su
詐,S,lie,サ sa
鎖,S,chain,サ sa、くさり kusari
挫,S,sprain,ザ za
采,S,form,サイ sai
砕,S,smash,サイ sai、くだ-く kuda-ku、くだ-ける kuda-keru
宰,S,superintend,サイ sai
栽,S,plantation,サイ sai
彩,S,coloring,サイ sai、いろど-る irodo-ru
斎,S,purification,サイ sai
債,S,bond,サイ sai
催,S,sponsor,サイ sai、もよお-す moyoo-su
塞,S,obstruct,サイ sai、ソク soku、ふさ-ぐ fusa-gu、ふさ-がる fusa-garu
歳,S,year-end,サイ sai、（セイ） (sei)
載,S,ride,サイ sai、の-せる no-seru、の-る no-ru
剤,S,dose,ザイ zai
削,S,plane,サク saku、けず-る kezu-ru
柵,S,fence,サク saku
索,S,cord,サク saku
酢,S,vinegar,サク saku、す su
搾,S,squeeze,サク saku、しぼ-る shibo-ru
錯,S,confused,サク saku
咲,S,blossom,さ-く sa-ku
刹,S,temple,サツ satsu、セツ setsu
拶,S,be imminent,サツ satsu
撮,S,snapshot,サツ satsu、と-る to-ru
擦,S,grate,サツ satsu、す-る su-ru、す-れる su-reru
桟,S,scaffold,サン san
惨,S,wretched,サン san、ザン zan、みじ-め miji-me
傘,S,umbrella,サン san、かさ kasa
斬,S,kill by slicing,ザン zan、き-る ki-ru
暫,S,temporarily,ザン zan
旨,S,delicious,シ shi、むね mune
伺,S,pay respects,シ shi、うかが-う ukaga-u
刺,S,thorn,シ shi、さ-す sa-su、さ-さる sa-saru
祉,S,welfare,シ shi
肢,S,limb,シ shi
施,S,carry out,シ shi、セ se、ほどこ-す hodoko-su
恣,S,selfish,シ shi
脂,S,fat,シ shi、あぶら abura
紫,S,purple,シ shi、むらさき murasaki
嗣,S,heir,シ shi
雌,S,feminine,シ shi、め me、めす mesu
摯,S,seriousness,シ shi
賜,S,grant,シ shi、たまわ-る tamawa-ru
諮,S,consult with,シ shi、はか-る haka-ru
侍,S,waiter,ジ ji、さむらい samurai
慈,S,mercy,ジ ji、いつく-しむ itsuku-shimu
餌 [8],S,bait,ジ ji、えさ esa、え e
璽,S,emperor's seal,ジ ji
軸,S,axis,ジク jiku
𠮟 [5],S,scold,シツ shitsu、しか-る shika-ru
疾,S,rapidly,シツ shitsu
執,S,tenacious,シツ shitsu、シュウ shū、と-る to-ru
湿,S,damp,シツ shitsu、しめ-る shime-ru、しめ-す shime-su
嫉,S,envy,シツ shitsu
漆,S,lacquer,シツ shitsu、うるし urushi
芝,S,turf,しば shiba
赦,S,pardon,シャ sha
斜,S,diagonal,シャ sha、なな-め nana-me
煮,S,boil,シャ sha、に-る ni-ru、に-える ni-eru、に-やす ni-yasu
遮,S,intercept,シャ sha、さえぎ-る saegi-ru
邪,S,wicked,ジャ ja
蛇,S,snake,ジャ ja、ダ da、へび hebi
酌,S,bartending,シャク shaku、く-む ku-mu
釈,S,explanation,シャク shaku
爵,S,baron,シャク shaku
寂,S,loneliness,ジャク jaku、（セキ） (seki)、さび sabi、さび-しい sabi-shii、さび-れる sabi-reru
朱,S,vermilion,シュ shu
狩,S,hunt,シュ shu、か-る ka-ru、か-り ka-ri
殊,S,particularly,シュ shu、こと koto
珠,S,pearl,シュ shu
腫,S,tumor,シュ shu、は-れる ha-reru、は-らす ha-rasu
趣,S,gist,シュ shu、おもむき omomuki
寿,S,longevity,ジュ ju、ことぶき kotobuki
呪,S,curse,ジュ ju、のろ-う noro-u
需,S,demand,ジュ ju
儒,S,Confucian,ジュ ju
囚,S,captured,シュウ shū
舟,S,boat,シュウ shū、ふね fune、（ふな） (funa)
秀,S,excel,シュウ shū、ひい-でる hii-deru
臭,S,stinking,シュウ shū、くさ-い kusa-i、にお-う nio-u
袖,S,sleeve,シュウ shū、そで sode
羞,S,feel ashamed,シュウ shū
愁,S,distress,シュウ shū、うれ-える ure-eru、うれ-い ure-i
酬,S,repay,シュウ shū
醜,S,ugly,シュウ shū、みにく-い miniku-i
蹴,S,kick,シュウ shū、け-る ke-ru
襲,S,attack,シュウ shū、おそ-う oso-u
汁,S,soup,ジュウ jū、しる shiru
充,S,allot,ジュウ jū、あ-てる a-teru
柔,S,tender,ジュウ jū、ニュウ nyū、やわ-らか yawa-raka、やわ-らかい yawa-rakai
渋,S,astringent,ジュウ jū、しぶ shibu、しぶ-い shibu-i、しぶ-る shibu-ru
銃,S,gun,ジュウ jū
獣,S,animal,ジュウ jū、けもの kemono
叔,S,uncle,シュク shuku
淑,S,graceful,シュク shuku
粛,S,solemn,シュク shuku
塾,S,cram school,ジュク juku
俊,S,genius,シュン shun
瞬,S,wink,シュン shun、またた-く matata-ku
旬,S,10-day period (of the month),ジュン jun、（シュン） (shun)
巡,S,patrol,ジュン jun、めぐ-る megu-ru
盾,S,shield,ジュン jun、たて tate
准,S,quasi-,ジュン jun
殉,S,martyrdom,ジュン jun
循,S,sequential,ジュン jun
潤,S,wet,ジュン jun、うるお-う uruo-u、うるお-す uruo-su、うる-む uru-mu
遵,S,abide by,ジュン jun
庶,S,commoner,ショ sho
緒,S,thong,ショ sho、（チョ） (cho)、お o
如,S,likeness,ジョ jo、ニョ nyo
叙,S,confer,ジョ jo
徐,S,gradually,ジョ jo
升,S,measuring box,ショウ shō、ます masu
召,S,summon,ショウ shō、め-す me-su
匠,S,artisan,ショウ shō
床,S,bed,ショウ shō、とこ toko、ゆか yuka
抄,S,extract,ショウ shō
肖,S,resemblance,ショウ shō
尚,S,esteem,ショウ shō
昇,S,rise up,ショウ shō、のぼ-る nobo-ru
沼,S,marsh,ショウ shō、ぬま numa
宵,S,wee hours,ショウ shō、よい yoi
症,S,symptoms,ショウ shō
祥,S,auspicious,ショウ shō
称,S,appellation,ショウ shō
渉,S,ford,ショウ shō
紹,S,introduce,ショウ shō
訟,S,sue,ショウ shō
掌,S,manipulate,ショウ shō
晶,S,sparkle,ショウ shō
焦,S,char,ショウ shō、こ-げる ko-geru、こ-がす ko-gasu、こ-がれる ko-gareru、あせ-る ase-ru
硝,S,nitrate,ショウ shō
粧,S,cosmetics,ショウ shō
詔,S,imperial edict,ショウ shō、みことのり mikotonori
奨,S,exhort,ショウ shō
詳,S,detailed,ショウ shō、くわ-しい kuwa-shii
彰,S,patent,ショウ shō
憧,S,desire,ショウ shō、あこが-れる akoga-reru
衝,S,collide,ショウ shō
償,S,reparation,ショウ shō、つぐな-う tsuguna-u
礁,S,reef,ショウ shō
鐘,S,bell,ショウ shō、かね kane
丈,S,length,ジョウ jō、たけ take
冗,S,superfluous,ジョウ jō
浄,S,clean,ジョウ jō
剰,S,surplus,ジョウ jō
畳,S,tatami mat,ジョウ jō、たた-む tata-mu、たたみ tatami
壌,S,lot,ジョウ jō
嬢,S,lass,ジョウ jō
錠,S,lock,ジョウ jō
譲,S,defer,ジョウ jō、ゆず-る yuzu-ru
醸,S,brew,ジョウ jō、かも-す kamo-su
拭,S,wipe,ショク shoku、ふ-く fu-ku、ぬぐ-う nugu-u
殖,S,augment,ショク shoku、ふ-える fu-eru、ふ-やす fu-yasu
飾,S,decorate,ショク shoku、かざ-る kaza-ru
触,S,contact,ショク shoku、ふ-れる fu-reru、さわ-る sawa-ru
嘱,S,entrust,ショク shoku
辱,S,embarrass,ジョク joku、はずかし-める hazukashi-meru
尻,S,buttocks,しり shiri
伸,S,lengthen,シン shin、の-びる no-biru、の-ばす no-basu、の-べる no-beru
芯,S,core,シン shin
辛,S,spicy,シン shin、から-い kara-i
侵,S,encroach,シン shin、おか-す oka-su
津,S,haven,シン shin、つ tsu
唇,S,lips,シン shin、くちびる kuchibiru
娠,S,with child,シン shin
振,S,shake,シン shin、ふ-る fu-ru、ふ-るう fu-rū、ふ-れる fu-reru
浸,S,immersed,シン shin、ひた-す hita-su、ひた-る hita-ru
紳,S,sire,シン shin
診,S,checkup,シン shin、み-る mi-ru
寝,S,lie down,シン shin、ね-る ne-ru、ね-かす ne-kasu
慎,S,humility,シン shin、つつし-む tsutsushi-mu
審,S,examine,シン shin
震,S,quake,シン shin、ふる-う furu-u、ふる-える furu-eru
薪,S,fuel,シン shin、たきぎ takigi
刃,S,blade,ジン jin、は ha
尽,S,exhaust,ジン jin、つ-くす tsu-kusu、つ-きる tsu-kiru、つ-かす tsu-kasu
迅,S,swift,ジン jin
甚,S,tremendously,ジン jin、はなは-だ hanaha-da、はなは-だしい hanaha-dashii
陣,S,camp,ジン jin
尋,S,inquire,ジン jin、たず-ねる tazu-neru
腎,S,kidney,ジン jin
須,S,by all means,ス su
吹,S,blow,スイ sui、ふ-く fu-ku
炊,S,cook,スイ sui、た-く ta-ku
帥,S,commander,スイ sui
粋,S,chic,スイ sui、いき iki
衰,S,decline,スイ sui、おとろ-える otoro-eru
酔,S,drunk,スイ sui、よ-う yo-u
遂,S,consummate,スイ sui、と-げる to-geru
睡,S,drowsy,スイ sui
穂,S,ear,スイ sui、ほ ho
随,S,follow,ズイ zui
髄,S,marrow,ズイ zui
枢,S,hinge,スウ sū
崇,S,adore,スウ sū
据,S,set,す-える su-eru、す-わる su-waru
杉,S,cedar,すぎ sugi
裾,S,cuff,すそ suso
瀬,S,rapids,せ se
是,S,just so,ゼ ze
姓,S,surname,セイ sei、ショウ shō
征,S,subjugate,セイ sei
斉,S,adjusted,セイ sei
牲,S,animal sacrifice,セイ sei
凄,S,uncanny,セイ sei
逝,S,departed,セイ sei、ゆ-く yu-ku、い-く i-ku
婿,S,bridegroom,セイ sei、むこ muko
誓,S,vow,セイ sei、ちか-う chika-u
請,S,solicit,セイ sei、（シン） (shin)、こ-う ko-u、う-ける u-keru
醒,S,be disillusioned,セイ sei
斥,S,reject,セキ seki
析,S,chop,セキ seki
脊,S,stature,セキ seki
隻,S,vessels,セキ seki
惜,S,pity,セキ seki、お-しい o-shii、お-しむ o-shimu
戚,S,grieve,セキ seki
跡,S,tracks,セキ seki、あと ato
籍,S,enroll,セキ seki
拙,S,bungling,セツ setsu、つたな-い tsutana-i
窃,S,stealth,セツ setsu
摂,S,vicarious,セツ setsu
仙,S,hermit,セン sen
占,S,fortune telling,セン sen、し-める shi-meru、うらな-う urana-u
扇,S,fan,セン sen、おうぎ ōgi
栓,S,plug,セン sen
旋,S,rotation,セン sen
煎 [7],S,broil,セン sen、い-る i-ru
羨,S,envy,セン sen、うらや-む uraya-mu、うらや-ましい uraya-mashii
腺,S,gland,セン sen
詮 [7],S,discussion,セン sen
践,S,tread,セン sen
箋,S,paper,セン sen
潜,S,submerge,セン sen、ひそ-む hiso-mu、もぐ-る mogu-ru
遷,S,transition,セン sen
薦,S,recommend,セン sen、すす-める susu-meru
繊,S,slender,セン sen
鮮,S,fresh,セン sen、あざ-やか aza-yaka
禅,S,Zen,ゼン zen
漸,S,steadily,ゼン zen
膳,S,tray,ゼン zen
繕,S,darning,ゼン zen、つくろ-う tsukuro-u
狙,S,aim at,ソ so、ねら-う nera-u
阻,S,thwart,ソ so、はば-む haba-mu
租,S,tariff,ソ so
措,S,set aside,ソ so
粗,S,coarse,ソ so、あら-い ara-i
疎,S,alienate,ソ so、うと-い uto-i、うと-む uto-mu
訴,S,sue,ソ so、うった-える utta-eru
塑,S,model,ソ so
遡 [8],S,go upstream,ソ so、さかのぼ-る sakanobo-ru
礎,S,cornerstone,ソ so、いしずえ ishizue
双,S,pair,ソウ sō、ふた futa
壮,S,robust,ソウ sō
荘,S,villa,ソウ sō
捜,S,search,ソウ sō、さが-す saga-su
挿,S,insert,ソウ sō、さ-す sa-su
桑,S,mulberry,ソウ sō、くわ kuwa
掃,S,sweep,ソウ sō、は-く ha-ku
曹,S,cadet,ソウ sō
曽,S,formerly,ソウ sō、（ゾ） (zo)
爽,S,refreshing,ソウ sō、さわ-やか sawa-yaka
喪,S,miss,ソウ sō、も mo
痩,S,get thin,ソウ sō、や-せる ya-seru
葬,S,interment,ソウ sō、ほうむ-る hōmu-ru
僧,S,Buddhist priest,ソウ sō
遭,S,encounter,ソウ sō、あ-う a-u
槽,S,vat,ソウ sō
