New (Shinjitai),Grade,English meaning,Readings
朝,2,morning,チョウ chō、あさ asa
直,2,straight,チョク choku、ジキ jiki、ただ-ちに tada-chini、なお-す nao-su、なお-る nao-ru
通,2,pass through,ツウ tsū、（ツ） (tsu)、とお-る too-ru、とお-す too-su、かよ-う kayo-u
弟,2,younger brother,テイ tei、（ダイ） (dai)、（デ） (de)、おとうと otōto
店,2,shop,テン ten、みせ mise
点,2,point,テン ten
電,2,electricity,デン den
刀,2,sword,トウ tō、かたな katana
冬,2,winter,トウ tō、ふゆ fuyu
当,2,hit,トウ tō、あ-たる a-taru、あ-てる a-teru
東,2,east,トウ tō、ひがし higashi
答,2,answer,トウ tō、こた-える kota-eru、こた-え kota-e
頭,2,head,トウ tō、ズ zu、（ト） (to)、あたま atama、かしら kashira
同,2,same,ドウ dō、おな-じ ona-ji
道,2,road,ドウ dō、（トウ） (tō)、みち michi
読,2,read,ドク doku、トク toku、（トウ） (tō)、よ-む yo-mu
内,2,inside,ナイ nai、（ダイ） (dai)、うち uchi
南,2,south,ナン nan、（ナ） (na)、みなみ minami
肉,2,meat,ニク niku
馬,2,horse,バ ba、うま uma、（ま） (ma)
売,2,sell,バイ bai、う-る u-ru、う-れる u-reru
買,2,buy,バイ bai、か-う ka-u
麦,2,wheat,バク baku、むぎ mugi
半,2,half,ハン han、なか-ば naka-ba
番,2,one's turn,バン ban
父,2,father,フ fu、ちち chichi
風,2,wind,フウ fū、（フ） (fu)、かぜ kaze、（かざ） (kaza)
分,2,"part, minute of time",ブン bun、フン fun、ブ bu、わ-ける wa-keru、わ-かれる wa-kareru、わ-かる wa-karu、わ-かつ wa-katsu
聞,2,hear,ブン bun、モン mon、き-く ki-ku、き-こえる ki-koeru
米,2,rice,ベイ bei、マイ mai、こめ kome
歩,2,walk,ホ ho、ブ bu、（フ） (fu)、ある-く aru-ku、あゆ-む ayu-mu
母,2,mother,ボ bo、はは haha
方,2,direction,ホウ hō、かた kata
北,2,north,ホク hoku、きた kita
毎,2,every,マイ mai
妹,2,younger sister,マイ mai、いもうと imōto
万,2,ten thousand,マン man、バン ban
明,2,bright,メイ mei、ミョウ myō、あ-かり a-kari、あか-るい aka-rui、あか-るむ aka-rumu、あか-らむ aka-ramu、あき-らか aki-raka、あ-ける a-keru、あ-く a-ku、あ-くる a-kuru、あ-かす a-kasu
鳴,2,chirp,メイ mei、な-く na-ku、な-る na-ru、な-らす na-rasu
毛,2,hair,モウ mō、け ke
門,2,gates,モン mon、かど kado
夜,2,night,ヤ ya、よ yo、よる yoru
野,2,field,ヤ ya、の no
友,2,friend,ユウ yū、とも tomo
用,2,use,ヨウ yō、もち-いる mochi-iru
曜,2,day of the week,ヨウ yō
来,2,come,ライ rai、く-る ku-ru、きた-る kita-ru、きた-す kita-su
里,2,village,リ ri、さと sato
理,2,reason,リ ri
話,2,talk,ワ wa、はな-す hana-su、はなし hanashi
