New (Shinjitai),Grade,English meaning,Readings
習,3,learn,シュウ shū、なら-う nara-u
集,3,collect,シュウ shū、あつ-まる atsu-maru、あつ-める atsu-meru、つど-う tsudo-u
住,3,dwelling,ジュウ jū、す-む su-mu、す-まう su-mau
重,3,heavy,ジュウ jū、チョウ chō、え e、おも-い omo-i、かさ-ねる kasa-neru、かさ-なる kasa-naru
宿,3,inn,シュク shuku、やど yado、やど-る yado-ru、やど-す yado-su
所,3,place,ショ sho、ところ tokoro
暑,3,hot,ショ sho、あつ-い atsu-i
助,3,help,ジョ jo、たす-ける tasu-keru、たす-かる tasu-karu、すけ suke
昭,3,shining,ショウ shō
消,3,extinguish,ショウ shō、き-える ki-eru、け-す ke-su
商,3,sell,ショウ shō、あきな-う akina-u
章,3,chapter,ショウ shō
勝,3,win,ショウ shō、か-つ ka-tsu、まさ-る masa-ru
乗,3,ride,ジョウ jō、の-る no-ru、の-せる no-seru
植,3,plant,ショク shoku、う-える u-eru、う-わる u-waru
申,3,say,シン shin、もう-す mō-su
身,3,body,シン shin、み mi
神,3,god,シン shin、ジン jin、かみ kami、（かん） (kan)、（こう） (kō)
真,3,true,シン shin、ま ma
深,3,deep,シン shin、ふか-い fuka-i、ふか-まる fuka-maru、ふか-める fuka-meru
進,3,advance,シン shin、すす-む susu-mu、すす-める susu-meru
世,3,world,セイ sei、セ se、よ yo
整,3,put in order,セイ sei、ととの-える totono-eru、ととの-う totono-u
昔,3,long ago,セキ seki、（シャク） (shaku)、むかし mukashi
全,3,whole,ゼン zen、まった-く matta-ku、すべ-て sube-te
相,3,mutual,ソウ sō、ショウ shō、あい ai
送,3,send,ソウ sō、おく-る oku-ru
想,3,concept,ソウ sō、（ソ） (so)
息,3,breath,ソク soku、いき iki
速,3,fast,ソク soku、はや-い haya-i、はや-める haya-meru、はや-まる haya-maru、すみ-やか sumi-yaka
族,3,tribe,ゾク zoku
他,3,other,タ ta、ほか hoka
打,3,hit,ダ da、う-つ u-tsu
対,3,opposite,タイ tai、ツイ tsui
待,3,wait,タイ tai、ま-つ ma-tsu
代,3,substitute,ダイ dai、タイ tai、か-わる ka-waru、か-える ka-eru、よ yo、しろ shiro
第,3,ordinal number prefix,ダイ dai
題,3,topic,ダイ dai
炭,3,charcoal,タン tan、すみ sumi
短,3,short,タン tan、みじか-い mijika-i
談,3,discuss,ダン dan
着,3,wear,チャク chaku、（ジャク） (jaku)、き-る ki-ru、き-せる ki-seru、つ-く tsu-ku、つ-ける tsu-keru
注,3,pour,チュウ chū、そそ-ぐ soso-gu
柱,3,pillar,チュウ chū、はしら hashira
丁,3,ward,チョウ chō、テイ tei
帳,3,account book,チョウ chō
調,3,investigate,チョウ chō、しら-べる shira-beru、ととの-う totono-u、ととの-える totono-eru
追,3,follow,ツイ tsui、お-う o-u
定,3,decide,テイ tei、ジョウ jō、さだ-める sada-meru、さだ-まる sada-maru、さだ-か sada-ka
庭,3,garden,テイ tei、にわ niwa
笛,3,flute,テキ teki、ふえ fue
鉄,3,iron,テツ tetsu
転,3,revolve,テン ten、ころ-がる koro-garu、ころ-げる koro-geru、ころ-がす koro-gasu、ころ-ぶ koro-bu
都,3,metropolis,ト to、ツ tsu、みやこ miyako
度,3,degrees,ド do、（ト） (to)、（タク） (taku)、たび tabi
投,3,throw,トウ tō、な-げる na-geru
豆,3,beans,トウ tō、（ズ） (zu)、まめ mame
島,3,island,トウ tō、しま shima
湯,3,hot water,トウ tō、ゆ yu
登,3,climb,トウ tō、ト to、のぼ-る nobo-ru
等,3,class,トウ tō、ひと-しい hito-shii
動,3,move,ドウ dō、うご-く ugo-ku、うご-かす ugo-kasu
童,3,juvenile,ドウ dō、わらべ warabe
農,3,farming,ノウ nō
波,3,wave,ハ ha、なみ nami
配,3,distribute,ハイ hai、くば-る kuba-ru
倍,3,double,バイ bai
箱,3,box,はこ hako
畑,3,farm,はた hata、はたけ hatake
発,3,departure,ハツ hatsu、ホツ hotsu
反,3,anti-,ハン han、（ホン） (hon)、（タン） (tan)、そ-る so-ru、そ-らす so-rasu
坂,3,slope,ハン han、さか saka
板,3,board,ハン han、バン ban、いた ita
皮,3,skin,ヒ hi、かわ kawa
悲,3,sad,ヒ hi、かな-しい kana-shii、かな-しむ kana-shimu
美,3,beauty,ビ bi、うつく-しい utsuku-shii
鼻,3,nose,ビ bi、はな hana
筆,3,writing brush,ヒツ hitsu、ふで fude
氷,3,ice,ヒョウ hyō、こおり koori、ひ hi
表,3,express,ヒョウ hyō、おもて omote、あらわ-す arawa-su、あらわ-れる arawa-reru
秒,3,second (part of time),ビョウ byō
病,3,sick,ビョウ byō、（ヘイ） (hei)、や-む ya-mu、やまい yamai
品,3,article,ヒン hin、しな shina
負,3,lose,フ fu、ま-ける ma-keru、ま-かす ma-kasu、お-う o-u
部,3,part,ブ bu
服,3,clothes,フク fuku
福,3,luck,フク fuku
物,3,thing,ブツ butsu、モツ motsu、もの mono
平,3,flat,ヘイ hei、ビョウ byō、たい-ら tai-ra、ひら hira
返,3,return,ヘン hen、かえ-す kae-su、かえ-る kae-ru
勉,3,exertion,ベン ben
放,3,release,ホウ hō、はな-す hana-su、はな-つ hana-tsu、はな-れる hana-reru、ほう-る hō-ru
味,3,flavor,ミ mi、あじ aji、あじ-わう aji-wau
命,3,fate,メイ mei、ミョウ myō、いのち inochi
面,3,face,メン men、おも omo、おもて omote、つら tsura
問,3,question,モン mon、と-う to-u、と-い to-i、（とん） (ton)
役,3,service,ヤク yaku、エキ eki
薬,3,medicine,ヤク yaku、くすり kusuri
由,3,reason,ユ yu、ユウ yū、（ユイ） (yui)、よし yoshi
油,3,oil,ユ yu、あぶら abura
有,3,have,ユウ yū、ウ u、あ-る a-ru
遊,3,play,ユウ yū、（ユ） (yu)、あそ-ぶ aso-bu
予,3,in advance,ヨ yo
羊,3,sheep,ヨウ yō、ひつじ hitsuji
洋,3,ocean,ヨウ yō
葉,3,leaf,ヨウ yō、は ha
陽,3,sunshine,ヨウ yō
様,3,formal title,ヨウ yō、さま sama
落,3,fall,ラク raku、お-ちる o-chiru、お-とす o-tosu
流,3,stream,リュウ ryū、（ル） (ru)、なが-れる naga-reru、なが-す naga-su
旅,3,trip,リョ ryo、たび tabi
両,3,both,リョウ ryō
緑,3,green,リョク ryoku、（ロク） (roku)、みどり midori
礼,3,thanks,レイ rei、ライ rai
列,3,row,レツ retsu
練,3,practice,レン ren、ね-る ne-ru
路,3,road,ロ ro、じ ji
和,3,peace,ワ wa、（オ） (o)、やわ-らぐ yawa-ragu、やわ-らげる yawa-rageru、なご-む nago-mu、なご-やか nago-yaka
