New (Shinjitai),Grade,English meaning,Readings
悪,3,bad,アク aku、オ o、わる-い waru-i
安,3,cheap,アン an、やす-い yasu-i
暗,3,dark,アン an、くら-い kura-i
医,3,doctor,イ i
委,3,committee,イ i、ゆだ-ねる yuda-neru
意,3,idea,イ i
育,3,nurture,イク iku、そだ-つ soda-tsu、そだ-てる soda-teru、はぐく-む haguku-mu
員,3,member,イン in
院,3,institution,イン in
飲,3,drink,イン in、の-む no-mu
運,3,carry,ウン un、はこ-ぶ hako-bu
泳,3,swim,エイ ei、およ-ぐ oyo-gu
駅,3,station,エキ eki
央,3,center,オウ ō
横,3,side,オウ ō、よこ yoko
屋,3,roof,オク oku、や ya
温,3,warm,オン on、あたた-か atata-ka、あたた-かい atata-kai、あたた-まる atata-maru、あたた-める atata-meru
化,3,change,カ ka、ケ ke、ば-ける ba-keru、ば-かす ba-kasu
荷,3,luggage,カ ka、に ni
界,3,world,カイ kai
開,3,open,カイ kai、ひら-く hira-ku、ひら-ける hira-keru、あ-く a-ku、あ-ける a-keru
階,3,floor of a building,カイ kai
寒,3,cold,カン kan、さむ-い samu-i
感,3,feeling,カン kan
漢,3,China,カン kan
館,3,public building,カン kan、やかた yakata
岸,3,beach,ガン gan、きし kishi
起,3,wake up,キ ki、お-きる o-kiru、お-こる o-koru、お-こす o-kosu
期,3,period of time,キ ki、（ゴ） (go)
客,3,guest,キャク kyaku、カク kaku
究,3,research,キュウ kyū、きわ-める kiwa-meru
急,3,hurry,キュウ kyū、いそ-ぐ iso-gu
級,3,rank,キュウ kyū
宮,3,Shinto shrine,キュウ kyū、グウ gū、（ク） (ku)、みや miya
球,3,sphere,キュウ kyū、たま tama
去,3,leave,キョ kyo、コ ko、さ-る sa-ru
橋,3,bridge,キョウ kyō、はし hashi
業,3,business,ギョウ gyō、ゴウ gō、わざ waza
曲,3,musical composition,キョク kyoku、ま-がる ma-garu、ま-げる ma-geru
局,3,office,キョク kyoku
銀,3,silver,ギン gin
区,3,ward,ク ku
苦,3,suffer,ク ku、くる-しい kuru-shii、くる-しむ kuru-shimu、くる-しめる kuru-shimeru、にが-い niga-i、にが-る niga-ru
具,3,tool,グ gu
君,3,you,クン kun、きみ kimi
係,3,person in charge,ケイ kei、かか-る kaka-ru、かかり kakari
軽,3,light,ケイ kei、かる-い karu-i、かろ-やか karo-yaka
血,3,blood,ケツ ketsu、ち chi
決,3,decide,ケツ ketsu、き-める ki-meru、き-まる ki-maru
研,3,sharpen,ケン ken、と-ぐ to-gu
県,3,prefecture,ケン ken
庫,3,warehouse,コ ko、（ク） (ku)
湖,3,lake,コ ko、みずうみ mizūmi
向,3,over there,コウ kō、む-く mu-ku、む-ける mu-keru、む-かう mu-kau、む-こう mu-kō
幸,3,happiness,コウ kō、さいわ-い saiwa-i、さち sachi、しあわ-せ shiawa-se
港,3,harbor,コウ kō、みなと minato
号,3,number,ゴウ gō
根,3,root,コン kon、ね ne
祭,3,festival,サイ sai、まつ-る matsu-ru、まつ-り matsu-ri
皿,3,dish,さら sara
仕,3,do,シ shi、（ジ） (ji)、つか-える tsuka-eru
死,3,death,シ shi、し-ぬ shi-nu
使,3,use,シ shi、つか-う tsuka-u
始,3,begin,シ shi、はじ-める haji-meru、はじ-まる haji-maru
指,3,finger,シ shi、ゆび yubi、さ-す sa-su
歯,3,tooth,シ shi、は ha
詩,3,poem,シ shi
次,3,next,ジ ji、シ shi、つ-ぐ tsu-gu、つぎ tsugi
事,3,abstract thing,ジ ji、（ズ） (zu)、こと koto
持,3,hold,ジ ji、も-つ mo-tsu
式,3,style,シキ shiki
実,3,truth,ジツ jitsu、み mi、みの-る mino-ru
写,3,copy,シャ sha、うつ-す utsu-su、うつ-る utsu-ru
者,3,someone,シャ sha、もの mono
主,3,master,シュ shu、（ス） (su)、ぬし nushi、おも omo
守,3,protect,シュ shu、（ス） (su)、まも-る mamo-ru、も-り mo-ri
取,3,take,シュ shu、と-る to-ru
酒,3,alcoholic drink,シュ shu、さけ sake、（さか） (saka)
受,3,accept,ジュ ju、う-ける u-keru、う-かる u-karu
州,3,state,シュウ shū、す su
拾,3,pick up,シュウ shū、ジュウ jū、ひろ-う hiro-u
終,3,end,シュウ shū、お-わる o-waru、お-える o-eru
