New (Shinjitai),Grade,English meaning,Readings
胃,6,stomach,イ i
異,6,uncommon,イ i、こと koto
遺,6,bequeath,イ i、（ユイ） (yui)
域,6,range,イキ iki
宇,6,eaves,ウ u
映,6,reflect,エイ ei、うつ-る utsu-ru、うつ-す utsu-su、は-える ha-eru
延,6,prolong,エン en、の-びる no-biru、の-べる no-beru、の-ばす no-basu
沿,6,run alongside,エン en、そ-う so-u
恩,6,grace,オン on
我,6,ego,ガ ga、われ ware、わ wa
灰,6,ashes,カイ kai、はい hai
拡,6,broaden,カク kaku
革,6,leather,カク kaku、かわ kawa
閣,6,tall,カク kaku
割,6,divide,カツ katsu、わ-る wa-ru、わり wari、わ-れる wa-reru、さ-く sa-ku
株,6,stocks,かぶ kabu
干,6,dry,カン kan、ほ-す ho-su、ひ-る hi-ru
巻,6,scroll,カン kan、ま-く ma-ku、まき maki
看,6,watch over,カン kan
簡,6,simplicity,カン kan
危,6,dangerous,キ ki、あぶ-ない abu-nai、あや-うい aya-ui、あや-ぶむ aya-bumu
机,6,desk,キ ki、つくえ tsukue
揮,6,brandish,キ ki
貴,6,precious,キ ki、たっと-い tatto-i、とうと-い tōto-i、たっと-ぶ tatto-bu、とうと-ぶ tōto-bu
疑,6,doubt,ギ gi、うたが-う utaga-u
吸,6,suck,キュウ kyū、す-う su-u
供,6,offer,キョウ kyō、（ク） (ku)、そな-える sona-eru、とも tomo
胸,6,bosom,キョウ kyō、むね mune、（むな） (muna)
郷,6,home town,キョウ kyō、ゴウ gō
勤,6,diligence,キン kin、（ゴン） (gon)、つと-める tsuto-meru、つと-まる tsuto-maru
筋,6,muscle,キン kin、すじ suji
系,6,lineage,ケイ kei
敬,6,respect,ケイ kei、うやま-う uyama-u
警,6,guard against,ケイ kei
劇,6,drama,ゲキ geki
激,6,violent,ゲキ geki、はげ-しい hage-shii
穴,6,hole,ケツ ketsu、あな ana
券,6,ticket,ケン ken
絹,6,silk,ケン ken、きぬ kinu
権,6,rights,ケン ken、（ゴン） (gon)
憲,6,constitution,ケン ken
源,6,origin,ゲン gen、みなもと minamoto
厳,6,strict,ゲン gen、（ゴン） (gon)、おごそ-か ogoso-ka、きび-しい kibi-shii
己,6,self,コ ko、キ ki、おのれ onore
呼,6,call,コ ko、よ-ぶ yo-bu
誤,6,mistake,ゴ go、あやま-る ayama-ru
后,6,empress,コウ kō
孝,6,filial piety,コウ kō
皇,6,emperor,コウ kō、オウ ō
紅,6,deep red,コウ kō、（ク） (ku)、べに beni、くれない kurenai
降,6,descend,コウ kō、お-りる o-riru、お-ろす o-rosu、ふ-る fu-ru
鋼,6,steel,コウ kō、はがね hagane
刻,6,engrave,コク koku、きざ-む kiza-mu
穀,6,cereals,コク koku
骨,6,bone,コツ kotsu、ほね hone
困,6,become distressed,コン kon、こま-る koma-ru
砂,6,sand,サ sa、シャ sha、すな suna
座,6,sit,ザ za、すわ-る suwa-ru
済,6,settle,サイ sai、す-む su-mu、す-ます su-masu
裁,6,judge,サイ sai、た-つ ta-tsu、さば-く saba-ku
策,6,scheme,サク saku
冊,6,counter for books,サツ satsu、サク saku
蚕,6,silkworm,サン san、かいこ kaiko
至,6,climax,シ shi、いた-る ita-ru
私,6,me,シ shi、わたくし watakushi、わたし watashi
姿,6,figure,シ shi、すがた sugata
視,6,look at,シ shi
詞,6,poetry,シ shi
誌,6,document,シ shi
磁,6,magnet,ジ ji
射,6,shoot,シャ sha、い-る i-ru
捨,6,throw away,シャ sha、す-てる su-teru
尺,6,shaku,シャク shaku
若,6,young,ジャク jaku、（ニャク） (nyaku)、わか-い waka-i、も-しくは mo-shikuha
樹,6,trees,ジュ ju
収,6,take in,シュウ shū、おさ-める osa-meru、おさ-まる osa-maru
宗,6,religion,シュウ shū、ソウ sō
就,6,concerning,シュウ shū、（ジュ） (ju)、つ-く tsu-ku、つ-ける tsu-keru
衆,6,masses,シュウ shū、（シュ） (shu)
従,6,obey,ジュウ jū、（ショウ） (shō)、（ジュ） (ju)、したが-う shitaga-u、したが-える shitaga-eru
縦,6,vertical,ジュウ jū、たて tate
縮,6,shrink,シュク shuku、ちぢ-む chiji-mu、ちぢ-まる chiji-maru、ちぢ-める chiji-meru、ちぢ-れる chiji-reru、ちぢ-らす chiji-rasu
熟,6,ripen,ジュク juku、う-れる u-reru
純,6,genuine,ジュン jun
処,6,dispose,ショ sho
署,6,government office,ショ sho
諸,6,various,ショ sho
除,6,exclude,ジョ jo、（ジ） (ji)、のぞ-く nozo-ku
承,6,acquiesce,ショウ shō、うけたまわ-る uketamawa-ru
将,6,leader,ショウ shō
傷,6,wound,ショウ shō、きず kizu、いた-む ita-mu、いた-める ita-meru
障,6,hurt,ショウ shō、さわ-る sawa-ru
蒸,6,steam,ジョウ jō、む-す mu-su、む-れる mu-reru、む-らす mu-rasu
針,6,needle,シン shin、はり hari
仁,6,humanity,ジン jin、（ニ） (ni)
垂,6,droop,スイ sui、た-れる ta-reru、た-らす ta-rasu
推,6,infer,スイ sui、お-す o-su
寸,6,measurement,スン sun
盛,6,prosper,セイ sei、（ジョウ） (jō)、も-る mo-ru、さか-る saka-ru、さか-ん saka-n
聖,6,holy,セイ sei
誠,6,sincerity,セイ sei、まこと makoto
舌,6,tongue,ゼツ zetsu、した shita
宣,6,proclaim,セン sen
専,6,specialty,セン sen、もっぱ-ら moppa-ra
泉,6,spring,セン sen、いずみ izumi
洗,6,wash,セン sen、あら-う ara-u
染,6,dye,セン sen、そ-める so-meru、そ-まる so-maru、し-みる shi-miru、し-み shi-mi
銭,6,coin,セン sen、ぜに zeni
善,6,good,ゼン zen、よ-い yo-i
奏,6,play music,ソウ sō、かな-でる kana-deru
窓,6,window,ソウ sō、まど mado
創,6,create,ソウ sō、つく-る tsuku-ru
装,6,attire,ソウ sō、ショウ shō、よそお-う yosoo-u
層,6,stratum,ソウ sō
操,6,maneuver,ソウ sō、みさお misao、あやつ-る ayatsu-ru
蔵,6,warehouse,ゾウ zō、くら kura
臓,6,entrails,ゾウ zō
存,6,suppose,ソン son、ゾン zon
尊,6,revered,ソン son、たっと-い tatto-i、とうと-い tōto-i、たっと-ぶ tatto-bu、とうと-ぶ tōto-bu
退,6,retreat,タイ tai、しりぞ-く shirizo-ku、しりぞ-ける shirizo-keru
宅,6,home,タク taku
担,6,shouldering,タン tan、かつ-ぐ katsu-gu、にな-う nina-u
探,6,grope,タン tan、さぐ-る sagu-ru、さが-す saga-su
誕,6,nativity,タン tan
段,6,steps,ダン dan
暖,6,warmth,ダン dan、あたた-か atata-ka、あたた-かい atata-kai、あたた-まる atata-maru、あたた-める atata-meru
値,6,value,チ chi、ね ne、あたい atai
宙,6,mid-air,チュウ chū
忠,6,loyalty,チュウ chū
著,6,renowned,チョ cho、あらわ-す arawa-su、いちじる-しい ichijiru-shii
庁,6,government office,チョウ chō
頂,6,place on the head,チョウ chō、いただ-く itada-ku、いただき itadaki
腸,6,intestines,チョウ chō
潮,6,tide,チョウ chō、しお shio
賃,6,fare,チン chin
痛,6,pain,ツウ tsū、いた-い ita-i、いた-む ita-mu、いた-める ita-meru
敵,6,enemy,テキ teki、かたき kataki
展,6,expand,テン ten
討,6,chastise,トウ tō、う-つ u-tsu
党,6,group,トウ tō
糖,6,sugar,トウ tō
届,6,deliver,とど-ける todo-keru、とど-く todo-ku
難,6,difficult,ナン nan、かた-い kata-i、むずか-しい muzuka-shii
乳,6,milk,ニュウ nyū、ちち chichi、ち chi
認,6,recognize,ニン nin、みと-める mito-meru
納,6,settlement,ノウ nō、（ナッ） (na')、（ナ） (na)、（ナン） (nan)、（トウ） (tō)、おさ-める osa-meru、おさ-まる osa-maru
脳,6,brain,ノウ nō
派,6,sect,ハ ha
拝,6,worship,ハイ hai、おが-む oga-mu
背,6,back,ハイ hai、せ se、せい sei、そむ-く somu-ku、そむ-ける somu-keru
肺,6,lungs,ハイ hai
俳,6,haiku,ハイ hai
班,6,squad,ハン han
晩,6,nightfall,バン ban
否,6,negate,ヒ hi、いな ina
批,6,criticism,ヒ hi
秘,6,secret,ヒ hi、ひ-める hi-meru
俵,6,bag,ヒョウ hyō、たわら tawara
腹,6,abdomen,フク fuku、はら hara
奮,6,stirred up,フン fun、ふる-う furu-u
並,6,line-up,ヘイ hei、なみ nami、なら-べる nara-beru、なら-ぶ nara-bu、なら-びに nara-bini
陛,6,highness,ヘイ hei
閉,6,closed,ヘイ hei、と-じる to-jiru、と-ざす to-zasu、し-める shi-meru、し-まる shi-maru
片,6,one-sided,ヘン hen、かた kata
補,6,supplement,ホ ho、おぎな-う ogina-u
暮,6,livelihood,ボ bo、く-れる ku-reru、く-らす ku-rasu
宝,6,treasure,ホウ hō、たから takara
訪,6,visit,ホウ hō、おとず-れる otozu-reru、たず-ねる tazu-neru
亡,6,deceased,ボウ bō、（モウ） (mō)、な-い na-i
忘,6,forget,ボウ bō、わす-れる wasu-reru
棒,6,rod,ボウ bō
枚,6,sheet of...,マイ mai
幕,6,curtain,マク maku、バク baku
密,6,secrecy,ミツ mitsu
盟,6,alliance,メイ mei
模,6,imitation,モ mo、ボ bo
訳,6,translate,ヤク yaku、わけ wake
郵,6,mail,ユウ yū
優,6,superior,ユウ yū、やさ-しい yasa-shii、すぐ-れる sugu-reru
預,6,deposit,ヨ yo、あず-ける azu-keru、あず-かる azu-karu
幼,6,infancy,ヨウ yō、おさな-い osana-i
欲,6,longing,ヨク yoku、ほっ-する ho'-suru、ほ-しい ho-shii
翌,6,the following,ヨク yoku
