New (Shinjitai),Grade,English meaning,Readings
圧,5,pressure,アツatsu
囲,5,surround,"イ、かこ-む、かこ-うi, kako-mu, kako-u"
移,5,shift,"イ、うつ-る、うつ-すi, utsu-ru, utsu-su"
因,5,cause,"イン、よ-るin, yo-ru"
永,5,eternity,"エイ、なが-いei, naga-i"
営,5,manage,"エイ、いとな-むei, itona-mu"
衛,5,defense,エイei
易,5,easy,"エキ、イ、やさ-しいeki, i, yasa-shii"
益,5,benefit,"エキ、（ヤク）eki, (yaku)"
液,5,fluid,エキeki
演,5,perform,エンen
応,5,respond,"オウ、こた-えるō, kota-eru"
往,5,outward journey,オウō
桜,5,cherry tree,"オウ、さくらō, sakura"
可,5,possible,カka
仮,5,temporary,"カ、（ケ）、かりka, (ke), kari"
価,5,value,"カ、あたいka, atai"
河,5,river,"カ、かわka, kawa"
過,5,go beyond,"カ、す-ぎる、す-ごす、あやま-つ、あやま-ちka, su-giru, su-gosu, ayama-tsu, ayama-chi"
快,5,cheerful,"カイ、こころよ-いkai, kokoroyo-i"
解,5,untie,"カイ、ゲ、と-く、と-かす、と-けるkai, ge, to-ku, to-kasu, to-keru"
格,5,status,"カク、（コウ）kaku, (kō)"
確,5,certain,"カク、たし-か、たし-かめるkaku, tashi-ka, tashi-kameru"
額,5,amount,"ガク、ひたいgaku, hitai"
刊,5,publish,カンkan
幹,5,tree-trunk,"カン、みきkan, miki"
慣,5,accustomed,"カン、な-れる、な-らすkan, na-reru, na-rasu"
眼,5,eyeball,"ガン、（ゲン）、まなこgan, (gen), manako"
紀,5,chronicle,キki
基,5,foundation,"キ、もと、もといki, moto, motoi"
寄,5,approach,"キ、よ-る、よ-せるki, yo-ru, yo-seru"
規,5,rule,キki
喜,5,rejoice,"キ、よろこ-ぶki, yoroko-bu"
技,5,skill,"ギ、わざgi, waza"
義,5,righteousness,ギgi
逆,5,inverted,"ギャク、さか、さか-らうgyaku, saka, saka-rau"
久,5,long time,"キュウ、（ク）、ひさ-しいkyū, (ku), hisa-shii"
旧,5,old times,キュウkyū
救,5,salvation,"キュウ、すく-うkyū, suku-u"
居,5,reside,"キョ、い-るkyo, i-ru"
許,5,permit,"キョ、ゆる-すkyo, yuru-su"
境,5,boundary,"キョウ、（ケイ）、さかいkyō, (kei), sakai"
均,5,level,キンkin
禁,5,prohibition,キンkin
句,5,phrase,クku
型,5,model,"ケイ、かたkei, kata"
経,5,manage,"ケイ、キョウ、へ-るkei, kyō, he-ru"
潔,5,undefiled,"ケツ、いさぎよ-いketsu, isagiyo-i"
件,5,affair,ケンken
険,5,precipitous,"ケン、けわ-しいken, kewa-shii"
検,5,examine,ケンken
限,5,limit,"ゲン、かぎ-るgen, kagi-ru"
現,5,appear,"ゲン、あらわ-れる、あらわ-すgen, arawa-reru, arawa-su"
減,5,decrease,"ゲン、へ-る、へ-らすgen, he-ru, he-rasu"
故,5,circumstances,"コ、ゆえko, yue"
個,5,individual,コko
護,5,safeguard,ゴgo
効,5,effect,"コウ、き-くkō, ki-ku"
