New (Shinjitai),Grade,English meaning,Readings
操,6,maneuver,"ソウ、みさお、あやつ-るsō, misao, ayatsu-ru"
蔵,6,warehouse,"ゾウ、くらzō, kura"
臓,6,entrails,ゾウzō
存,6,suppose,"ソン、ゾンson, zon"
尊,6,revered,"ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶson, tatto-i, tōto-i, tatto-bu, tōto-bu"
退,6,retreat,"タイ、しりぞ-く、しりぞ-けるtai, shirizo-ku, shirizo-keru"
宅,6,home,タクtaku
担,6,shouldering,"タン、かつ-ぐ、にな-うtan, katsu-gu, nina-u"
探,6,grope,"タン、さぐ-る、さが-すtan, sagu-ru, saga-su"
誕,6,nativity,タンtan
段,6,steps,ダンdan
暖,6,warmth,"ダン、あたた-か、あたた-かい、あたた-まる、あたた-めるdan, atata-ka, atata-kai, atata-maru, atata-meru"
値,6,value,"チ、ね、あたいchi, ne, atai"
宙,6,mid-air,チュウchū
忠,6,loyalty,チュウchū
著,6,renowned,"チョ、あらわ-す、いちじる-しいcho, arawa-su, ichijiru-shii"
庁,6,government office,チョウchō
頂,6,place on the head,"チョウ、いただ-く、いただきchō, itada-ku, itadaki"
腸,6,intestines,チョウchō
潮,6,tide,"チョウ、しおchō, shio"
賃,6,fare,チンchin
痛,6,pain,"ツウ、いた-い、いた-む、いた-めるtsū, ita-i, ita-mu, ita-meru"
敵,6,enemy,"テキ、かたきteki, kataki"
展,6,expand,テンten
討,6,chastise,"トウ、う-つtō, u-tsu"
党,6,group,トウtō
糖,6,sugar,トウtō
届,6,deliver,"とど-ける、とど-くtodo-keru, todo-ku"
難,6,difficult,"ナン、かた-い、むずか-しいnan, kata-i, muzuka-shii"
乳,6,milk,"ニュウ、ちち、ちnyū, chichi, chi"
認,6,recognize,"ニン、みと-めるnin, mito-meru"
納,6,settlement,"ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まるnō, (na'), (na), (nan), (tō), osa-meru, osa-maru"
脳,6,brain,ノウnō
派,6,sect,ハha
拝,6,worship,"ハイ、おが-むhai, oga-mu"
背,6,back,"ハイ、せ、せい、そむ-く、そむ-けるhai, se, sei, somu-ku, somu-keru"
肺,6,lungs,ハイhai
俳,6,haiku,ハイhai
班,6,squad,ハンhan
晩,6,nightfall,バンban
否,6,negate,"ヒ、いなhi, ina"
批,6,criticism,ヒhi
秘,6,secret,"ヒ、ひ-めるhi, hi-meru"
俵,6,bag,"ヒョウ、たわらhyō, tawara"
腹,6,abdomen,"フク、はらfuku, hara"
奮,6,stirred up,"フン、ふる-うfun, furu-u"
並,6,line-up,"ヘイ、なみ、なら-べる、なら-ぶ、なら-びにhei, nami, nara-beru, nara-bu, nara-bini"
陛,6,highness,ヘイhei
閉,6,closed,"ヘイ、と-じる、と-ざす、し-める、し-まるhei, to-jiru, to-zasu, shi-meru, shi-maru"
片,6,one-sided,"ヘン、かたhen, kata"
補,6,supplement,"ホ、おぎな-うho, ogina-u"
暮,6,livelihood,"ボ、く-れる、く-らすbo, ku-reru, ku-rasu"
宝,6,treasure,"ホウ、たからhō, takara"
訪,6,visit,"ホウ、おとず-れる、たず-ねるhō, otozu-reru, tazu-neru"
亡,6,deceased,"ボウ、（モウ）、な-いbō, (mō), na-i"
忘,6,forget,"ボウ、わす-れるbō, wasu-reru"
棒,6,rod,ボウbō
枚,6,sheet of...,マイmai
幕,6,curtain,"マク、バクmaku, baku"
密,6,secrecy,ミツmitsu
盟,6,alliance,メイmei
模,6,imitation,"モ、ボmo, bo"
訳,6,translate,"ヤク、わけyaku, wake"
郵,6,mail,ユウyū
優,6,superior,"ユウ、やさ-しい、すぐ-れるyū, yasa-shii, sugu-reru"
預,6,deposit,"ヨ、あず-ける、あず-かるyo, azu-keru, azu-karu"
幼,6,infancy,"ヨウ、おさな-いyō, osana-i"
欲,6,longing,"ヨク、ほっ-する、ほ-しいyoku, ho'-suru, ho-shii"
翌,6,the following,ヨクyoku
乱,6,riot,"ラン、みだ-れる、みだ-すran, mida-reru, mida-su"
卵,6,egg,"ラン、たまごran, tamago"
覧,6,perusal,ランran
裏,6,back,"リ、うらri, ura"
律,6,law,"リツ、（リチ）ritsu, (richi)"
臨,6,look to,"リン、のぞ-むrin, nozo-mu"
朗,6,melodious,"ロウ、ほが-らかrō, hoga-raka"
論,6,theory,ロンron
