New (Shinjitai),Grade,English meaning,Readings
色,2,color,"ショク、シキ、いろshoku, shiki, iro"
食,2,"eat, meal","ショク、（ジキ）、く-う、く-らう、た-べるshoku, (jiki), ku-u, ku-rau, ta-beru"
心,2,heart,"シン、こころshin, kokoro"
新,2,new,"シン、あたら-しい、あら-た、にいshin, atara-shii, ara-ta, nii"
親,2,parent,"シン、おや、した-しい、した-しむshin, oya, shita-shii, shita-shimu"
図,2,diagram,"ズ、ト、はか-るzu, to, haka-ru"
数,2,number,"スウ、（ス）、かず、かぞ-えるsū, (su), kazu, kazo-eru"
西,2,west,"セイ、サイ、にしsei, sai, nishi"
声,2,voice,"セイ、（ショウ）、こえ、（こわ）sei, (shō), koe, (kowa)"
星,2,star,"セイ、（ショウ）、ほしsei, (shō), hoshi"
晴,2,clear up,"セイ、は-れる、は-らすsei, ha-reru, ha-rasu"
切,2,cut,"セツ、（サイ）、き-る、き-れるsetsu, (sai), ki-ru, ki-reru"
雪,2,snow,"セツ、ゆきsetsu, yuki"
船,2,boat,"セン、ふね、（ふな）sen, fune, (funa)"
線,2,line,センsen
前,2,in front,"ゼン、まえzen, mae"
組,2,association,"ソ、く-む、くみso, ku-mu, kumi"
走,2,run,"ソウ、はし-るsō, hashi-ru"
多,2,many,"タ、おお-いta, oo-i"
太,2,thick,"タイ、タ、ふと-い、ふと-るtai, ta, futo-i, futo-ru"
体,2,body,"タイ、テイ、からだtai, tei, karada"
台,2,pedestal,"ダイ、タイdai, tai"
地,2,ground,"チ、ジchi, ji"
池,2,pond,"チ、いけchi, ike"
知,2,know,"チ、し-るchi, shi-ru"
茶,2,tea,"チャ、サcha, sa"
昼,2,daytime,"チュウ、ひるchū, hiru"
長,2,long,"チョウ、なが-いchō, naga-i"
鳥,2,bird,"チョウ、とりchō, tori"
朝,2,morning,"チョウ、あさchō, asa"
直,2,straight,"チョク、ジキ、ただ-ちに、なお-す、なお-るchoku, jiki, tada-chini, nao-su, nao-ru"
通,2,pass through,"ツウ、（ツ）、とお-る、とお-す、かよ-うtsū, (tsu), too-ru, too-su, kayo-u"
弟,2,younger brother,"テイ、（ダイ）、（デ）、おとうとtei, (dai), (de), otōto"
店,2,shop,"テン、みせten, mise"
点,2,point,テンten
電,2,electricity,デンden
刀,2,sword,"トウ、かたなtō, katana"
冬,2,winter,"トウ、ふゆtō, fuyu"
当,2,hit,"トウ、あ-たる、あ-てるtō, a-taru, a-teru"
東,2,east,"トウ、ひがしtō, higashi"
答,2,answer,"トウ、こた-える、こた-えtō, kota-eru, kota-e"
頭,2,head,"トウ、ズ、（ト）、あたま、かしらtō, zu, (to), atama, kashira"
同,2,same,"ドウ、おな-じdō, ona-ji"
道,2,road,"ドウ、（トウ）、みちdō, (tō), michi"
読,2,read,"ドク、トク、（トウ）、よ-むdoku, toku, (tō), yo-mu"
内,2,inside,"ナイ、（ダイ）、うちnai, (dai), uchi"
南,2,south,"ナン、（ナ）、みなみnan, (na), minami"
肉,2,meat,ニクniku
馬,2,horse,"バ、うま、（ま）ba, uma, (ma)"
売,2,sell,"バイ、う-る、う-れるbai, u-ru, u-reru"
買,2,buy,"バイ、か-うbai, ka-u"
麦,2,wheat,"バク、むぎbaku, mugi"
半,2,half,"ハン、なか-ばhan, naka-ba"
番,2,one's turn,バンban
父,2,father,"フ、ちちfu, chichi"
風,2,wind,"フウ、（フ）、かぜ、（かざ）fū, (fu), kaze, (kaza)"
分,2,"part, minute of time","ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつbun, fun, bu, wa-keru, wa-kareru, wa-karu, wa-katsu"
聞,2,hear,"ブン、モン、き-く、き-こえるbun, mon, ki-ku, ki-koeru"
米,2,rice,"ベイ、マイ、こめbei, mai, kome"
歩,2,walk,"ホ、ブ、（フ）、ある-く、あゆ-むho, bu, (fu), aru-ku, ayu-mu"
母,2,mother,"ボ、ははbo, haha"
方,2,direction,"ホウ、かたhō, kata"
北,2,north,"ホク、きたhoku, kita"
毎,2,every,マイmai
妹,2,younger sister,"マイ、いもうとmai, imōto"
万,2,ten thousand,"マン、バンman, ban"
明,2,bright,"メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かすmei, myō, a-kari, aka-rui, aka-rumu, aka-ramu, aki-raka, a-keru, a-ku, a-kuru, a-kasu"
鳴,2,chirp,"メイ、な-く、な-る、な-らすmei, na-ku, na-ru, na-rasu"
毛,2,hair,"モウ、けmō, ke"
門,2,gates,"モン、かどmon, kado"
夜,2,night,"ヤ、よ、よるya, yo, yoru"
野,2,field,"ヤ、のya, no"
友,2,friend,"ユウ、ともyū, tomo"
用,2,use,"ヨウ、もち-いるyō, mochi-iru"
曜,2,day of the week,ヨウyō
来,2,come,"ライ、く-る、きた-る、きた-すrai, ku-ru, kita-ru, kita-su"
里,2,village,"リ、さとri, sato"
理,2,reason,リri
話,2,talk,"ワ、はな-す、はなしwa, hana-su, hanashi"
