New (Shinjitai),Grade,English meaning,Readings
引,2,pull,"イン、ひ-く、ひ-けるin, hi-ku, hi-keru"
羽,2,feather,"ウ、は、はねu, ha, hane"
雲,2,cloud,"ウン、くもun, kumo"
園,2,garden,"エン、そのen, sono"
遠,2,far,"エン、（オン）、とお-いen, (on), too-i"
何,2,what,"カ、なに、（なん）ka, nani, (nan)"
科,2,section,カka
夏,2,summer,"カ、（ゲ）、なつka, (ge), natsu"
家,2,house,"カ、ケ、いえ、やka, ke, ie, ya"
歌,2,song,"カ、うた、うた-うka, uta, uta-u"
画,2,tableau,"ガ、カクga, kaku"
回,2,times,"カイ、（エ）、まわ-る、まわ-すkai, (e), mawa-ru, mawa-su"
会,2,association,"カイ、エ、あ-うkai, e, a-u"
海,2,sea,"カイ、うみkai, umi"
絵,2,picture,"カイ、エkai, e"
外,2,outside,"ガイ、ゲ、そと、ほか、はず-す、はず-れるgai, ge, soto, hoka, hazu-su, hazu-reru"
角,2,angle,"カク、かど、つのkaku, kado, tsuno"
楽,2,pleasure,"ガク、ラク、たの-しい、たの-しむgaku, raku, tano-shii, tano-shimu"
活,2,active,カツkatsu
間,2,interval,"カン、ケン、あいだ、まkan, ken, aida, ma"
丸,2,circle,"ガン、まる、まる-い、まる-めるgan, maru, maru-i, maru-meru"
岩,2,boulder,"ガン、いわgan, iwa"
顔,2,face,"ガン、かおgan, kao"
汽,2,steam,キki
記,2,write down,"キ、しる-すki, shiru-su"
帰,2,return,"キ、かえ-る、かえ-すki, kae-ru, kae-su"
弓,2,"bow (archery, violin)","キュウ、ゆみkyū, yumi"
牛,2,cow,"ギュウ、うしgyū, ushi"
魚,2,fish,"ギョ、うお、さかなgyo, uo, sakana"
京,2,capital,"キョウ、ケイkyō, kei"
強,2,strong,"キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いるkyō, gō, tsuyo-i, tsuyo-maru, tsuyo-meru, shi-iru"
教,2,teach,"キョウ、おし-える、おそ-わるkyō, oshi-eru, oso-waru"
近,2,near,"キン、ちか-いkin, chika-i"
兄,2,older brother,"ケイ、（キョウ）、あにkei, (kyō), ani"
形,2,shape,"ケイ、ギョウ、かた、かたちkei, gyō, kata, katachi"
計,2,measure,"ケイ、はか-る、はか-らうkei, haka-ru, haka-rau"
元,2,origin,"ゲン、ガン、もとgen, gan, moto"
言,2,say,"ゲン、ゴン、い-う、ことgen, gon, i-u, koto"
原,2,field,"ゲン、はらgen, hara"
戸,2,door,"コ、とko, to"
古,2,old,"コ、ふる-い、ふる-すko, furu-i, furu-su"
午,2,noon,ゴgo
後,2,behind,"ゴ、コウ、のち、うし-ろ、あと、おく-れるgo, kō, nochi, ushi-ro, ato, oku-reru"
語,2,language,"ゴ、かた-る、かた-らうgo, kata-ru, kata-rau"
工,2,craft,"コウ、クkō, ku"
公,2,public,"コウ、おおやけkō, ooyake"
広,2,wide,"コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げるkō, hiro-i, hiro-maru, hiro-meru, hiro-garu, hiro-geru"
交,2,mix,"コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わすkō, maji-waru, maji-eru, ma-jiru, ma-zaru, ma-zeru, ka-u, ka-wasu"
光,2,ray,"コウ、ひか-る、ひかりkō, hika-ru, hikari"
考,2,think,"コウ、かんが-えるkō, kanga-eru"
行,2,go,"コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-うkō, gyō, (an), i-ku, yu-ku, okona-u"
高,2,"tall, expensive","コウ、たか-い、たか、たか-まる、たか-めるkō, taka-i, taka, taka-maru, taka-meru"
黄,2,yellow,"コウ、オウ、き、（こ）kō, ō, ki, (ko)"
合,2,fit,"ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせるgō, ga', (ka'), a-u, a-wasu, a-waseru"
谷,2,valley,"コク、たにkoku, tani"
国,2,country,"コク、くにkoku, kuni"
黒,2,black,"コク、くろ、くろ-いkoku, kuro, kuro-i"
今,2,now,"コン、キン、いまkon, kin, ima"
才,2,genius,サイsai
細,2,thin,"サイ、ほそ-い、ほそ-る、こま-か、こま-かいsai, hoso-i, hoso-ru, koma-ka, koma-kai"
作,2,make,"サク、サ、つく-るsaku, sa, tsuku-ru"
算,2,calculate,サンsan
止,2,stop,"シ、と-まる、と-めるshi, to-maru, to-meru"
市,2,market,"シ、いちshi, ichi"
矢,2,arrow,"シ、やshi, ya"
姉,2,older sister,"シ、あねshi, ane"
思,2,think,"シ、おも-うshi, omo-u"
紙,2,paper,"シ、かみshi, kami"
寺,2,Buddhist temple,"ジ、てらji, tera"
自,2,oneself,"ジ、シ、みずか-らji, shi, mizuka-ra"
時,2,time,"ジ、ときji, toki"
室,2,room,"シツ、むろshitsu, muro"
社,2,company,"シャ、やしろsha, yashiro"
弱,2,weak,"ジャク、よわ-い、よわ-る、よわ-まる、よわ-めるjaku, yowa-i, yowa-ru, yowa-maru, yowa-meru"
首,2,neck,"シュ、くびshu, kubi"
秋,2,autumn,"シュウ、あきshū, aki"
週,2,week,シュウshū
春,2,springtime,"シュン、はるshun, haru"
書,2,write,"ショ、か-くsho, ka-ku"
少,2,few,"ショウ、すく-ない、すこ-しshō, suku-nai, suko-shi"
場,2,place,"ジョウ、ばjō, ba"
