New (Shinjitai),Grade,English meaning,Readings
悪,3,bad,"アク、オ、わる-いaku, o, waru-i"
安,3,cheap,"アン、やす-いan, yasu-i"
暗,3,dark,"アン、くら-いan, kura-i"
医,3,doctor,イi
委,3,committee,"イ、ゆだ-ねるi, yuda-neru"
意,3,idea,イi
育,3,nurture,"イク、そだ-つ、そだ-てる、はぐく-むiku, soda-tsu, soda-teru, haguku-mu"
員,3,member,インin
院,3,institution,インin
飲,3,drink,"イン、の-むin, no-mu"
運,3,carry,"ウン、はこ-ぶun, hako-bu"
泳,3,swim,"エイ、およ-ぐei, oyo-gu"
駅,3,station,エキeki
央,3,center,オウō
横,3,side,"オウ、よこō, yoko"
屋,3,roof,"オク、やoku, ya"
温,3,warm,"オン、あたた-か、あたた-かい、あたた-まる、あたた-めるon, atata-ka, atata-kai, atata-maru, atata-meru"
化,3,change,"カ、ケ、ば-ける、ば-かすka, ke, ba-keru, ba-kasu"
荷,3,luggage,"カ、にka, ni"
界,3,world,カイkai
開,3,open,"カイ、ひら-く、ひら-ける、あ-く、あ-けるkai, hira-ku, hira-keru, a-ku, a-keru"
階,3,floor of a building,カイkai
寒,3,cold,"カン、さむ-いkan, samu-i"
感,3,feeling,カンkan
漢,3,China,カンkan
館,3,public building,"カン、やかたkan, yakata"
岸,3,beach,"ガン、きしgan, kishi"
起,3,wake up,"キ、お-きる、お-こる、お-こすki, o-kiru, o-koru, o-kosu"
期,3,period of time,"キ、（ゴ）ki, (go)"
客,3,guest,"キャク、カクkyaku, kaku"
究,3,research,"キュウ、きわ-めるkyū, kiwa-meru"
急,3,hurry,"キュウ、いそ-ぐkyū, iso-gu"
級,3,rank,キュウkyū
宮,3,Shinto shrine,"キュウ、グウ、（ク）、みやkyū, gū, (ku), miya"
球,3,sphere,"キュウ、たまkyū, tama"
去,3,leave,"キョ、コ、さ-るkyo, ko, sa-ru"
橋,3,bridge,"キョウ、はしkyō, hashi"
業,3,business,"ギョウ、ゴウ、わざgyō, gō, waza"
曲,3,musical composition,"キョク、ま-がる、ま-げるkyoku, ma-garu, ma-geru"
局,3,office,キョクkyoku
銀,3,silver,ギンgin
区,3,ward,クku
苦,3,suffer,"ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-るku, kuru-shii, kuru-shimu, kuru-shimeru, niga-i, niga-ru"
具,3,tool,グgu
君,3,you,"クン、きみkun, kimi"
係,3,person in charge,"ケイ、かか-る、かかりkei, kaka-ru, kakari"
軽,3,light,"ケイ、かる-い、かろ-やかkei, karu-i, karo-yaka"
血,3,blood,"ケツ、ちketsu, chi"
決,3,decide,"ケツ、き-める、き-まるketsu, ki-meru, ki-maru"
研,3,sharpen,"ケン、と-ぐken, to-gu"
県,3,prefecture,ケンken
庫,3,warehouse,"コ、（ク）ko, (ku)"
湖,3,lake,"コ、みずうみko, mizūmi"
向,3,over there,"コウ、む-く、む-ける、む-かう、む-こうkō, mu-ku, mu-keru, mu-kau, mu-kō"
幸,3,happiness,"コウ、さいわ-い、さち、しあわ-せkō, saiwa-i, sachi, shiawa-se"
港,3,harbor,"コウ、みなとkō, minato"
号,3,number,ゴウgō
根,3,root,"コン、ねkon, ne"
祭,3,festival,"サイ、まつ-る、まつ-りsai, matsu-ru, matsu-ri"
皿,3,dish,さらsara
仕,3,do,"シ、（ジ）、つか-えるshi, (ji), tsuka-eru"
死,3,death,"シ、し-ぬshi, shi-nu"
使,3,use,"シ、つか-うshi, tsuka-u"
始,3,begin,"シ、はじ-める、はじ-まるshi, haji-meru, haji-maru"
指,3,finger,"シ、ゆび、さ-すshi, yubi, sa-su"
歯,3,tooth,"シ、はshi, ha"
詩,3,poem,シshi
次,3,next,"ジ、シ、つ-ぐ、つぎji, shi, tsu-gu, tsugi"
事,3,abstract thing,"ジ、（ズ）、ことji, (zu), koto"
持,3,hold,"ジ、も-つji, mo-tsu"
式,3,style,シキshiki
実,3,truth,"ジツ、み、みの-るjitsu, mi, mino-ru"
写,3,copy,"シャ、うつ-す、うつ-るsha, utsu-su, utsu-ru"
者,3,someone,"シャ、ものsha, mono"
主,3,master,"シュ、（ス）、ぬし、おもshu, (su), nushi, omo"
守,3,protect,"シュ、（ス）、まも-る、も-りshu, (su), mamo-ru, mo-ri"
取,3,take,"シュ、と-るshu, to-ru"
酒,3,alcoholic drink,"シュ、さけ、（さか）shu, sake, (saka)"
受,3,accept,"ジュ、う-ける、う-かるju, u-keru, u-karu"
州,3,state,"シュウ、すshū, su"
拾,3,pick up,"シュウ、ジュウ、ひろ-うshū, jū, hiro-u"
終,3,end,"シュウ、お-わる、お-えるshū, o-waru, o-eru"
習,3,learn,"シュウ、なら-うshū, nara-u"
集,3,collect,"シュウ、あつ-まる、あつ-める、つど-うshū, atsu-maru, atsu-meru, tsudo-u"
住,3,dwelling,"ジュウ、す-む、す-まうjū, su-mu, su-mau"
重,3,heavy,"ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なるjū, chō, e, omo-i, kasa-neru, kasa-naru"
宿,3,inn,"シュク、やど、やど-る、やど-すshuku, yado, yado-ru, yado-su"
所,3,place,"ショ、ところsho, tokoro"
暑,3,hot,"ショ、あつ-いsho, atsu-i"
助,3,help,"ジョ、たす-ける、たす-かる、すけjo, tasu-keru, tasu-karu, suke"
昭,3,shining,ショウshō
消,3,extinguish,"ショウ、き-える、け-すshō, ki-eru, ke-su"
商,3,sell,"ショウ、あきな-うshō, akina-u"
章,3,chapter,ショウshō
勝,3,win,"ショウ、か-つ、まさ-るshō, ka-tsu, masa-ru"
乗,3,ride,"ジョウ、の-る、の-せるjō, no-ru, no-seru"
植,3,plant,"ショク、う-える、う-わるshoku, u-eru, u-waru"
申,3,say,"シン、もう-すshin, mō-su"
身,3,body,"シン、みshin, mi"
神,3,god,"シン、ジン、かみ、（かん）、（こう）shin, jin, kami, (kan), (kō)"
真,3,true,"シン、まshin, ma"
深,3,deep,"シン、ふか-い、ふか-まる、ふか-めるshin, fuka-i, fuka-maru, fuka-meru"
進,3,advance,"シン、すす-む、すす-めるshin, susu-mu, susu-meru"
世,3,world,"セイ、セ、よsei, se, yo"
整,3,put in order,"セイ、ととの-える、ととの-うsei, totono-eru, totono-u"
昔,3,long ago,"セキ、（シャク）、むかしseki, (shaku), mukashi"
全,3,whole,"ゼン、まった-く、すべ-てzen, matta-ku, sube-te"
相,3,mutual,"ソウ、ショウ、あいsō, shō, ai"
送,3,send,"ソウ、おく-るsō, oku-ru"
想,3,concept,"ソウ、（ソ）sō, (so)"
息,3,breath,"ソク、いきsoku, iki"
速,3,fast,"ソク、はや-い、はや-める、はや-まる、すみ-やかsoku, haya-i, haya-meru, haya-maru, sumi-yaka"
族,3,tribe,ゾクzoku
他,3,other,"タ、ほかta, hoka"
打,3,hit,"ダ、う-つda, u-tsu"
対,3,opposite,"タイ、ツイtai, tsui"
待,3,wait,"タイ、ま-つtai, ma-tsu"
代,3,substitute,"ダイ、タイ、か-わる、か-える、よ、しろdai, tai, ka-waru, ka-eru, yo, shiro"
第,3,ordinal number prefix,ダイdai
題,3,topic,ダイdai
炭,3,charcoal,"タン、すみtan, sumi"
短,3,short,"タン、みじか-いtan, mijika-i"
談,3,discuss,ダンdan
着,3,wear,"チャク、（ジャク）、き-る、き-せる、つ-く、つ-けるchaku, (jaku), ki-ru, ki-seru, tsu-ku, tsu-keru"
注,3,pour,"チュウ、そそ-ぐchū, soso-gu"
柱,3,pillar,"チュウ、はしらchū, hashira"
丁,3,ward,"チョウ、テイchō, tei"
帳,3,account book,チョウchō
調,3,investigate,"チョウ、しら-べる、ととの-う、ととの-えるchō, shira-beru, totono-u, totono-eru"
追,3,follow,"ツイ、お-うtsui, o-u"
定,3,decide,"テイ、ジョウ、さだ-める、さだ-まる、さだ-かtei, jō, sada-meru, sada-maru, sada-ka"
庭,3,garden,"テイ、にわtei, niwa"
笛,3,flute,"テキ、ふえteki, fue"
鉄,3,iron,テツtetsu
転,3,revolve,"テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶten, koro-garu, koro-geru, koro-gasu, koro-bu"
都,3,metropolis,"ト、ツ、みやこto, tsu, miyako"
度,3,degrees,"ド、（ト）、（タク）、たびdo, (to), (taku), tabi"
