New (Shinjitai),Grade,English meaning,Readings
一,1,one,"イチ、イツ、ひと、ひと-つichi, itsu, hito, hito-tsu"
右,1,right (direction),"ウ、ユウ、みぎu, yū, migi"
雨,1,rain,"ウ、あめ、（あま）u, ame, (ama)"
円,1,"round, yen","エン、まる-いen, maru-i"
王,1,king,オウō
音,1,sound,"オン、イン、おと、ねon, in, oto, ne"
下,1,below,"カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りるka, ge, shita, shimo, moto, sa-geru, sa-garu, kuda-ru, kuda-su, kuda-saru, o-rosu, o-riru"
火,1,fire,"カ、ひ、（ほ）ka, hi, (ho)"
花,1,flower,"カ、はなka, hana"
貝,1,shellfish,かいkai
学,1,study,"ガク、まな-ぶgaku, mana-bu"
気,1,feeling,"キ、ケki, ke"
九,1,nine,"キュウ、ク、ここの、ここの-つkyū, ku, kokono, kokono-tsu"
休,1,rest,"キュウ、やす-む、やす-まる、やす-めるkyū, yasu-mu, yasu-maru, yasu-meru"
玉,1,ball,"ギョク、たまgyoku, tama"
金,1,gold,"キン、コン、かね、（かな）kin, kon, kane, (kana)"
空,1,sky,"クウ、そら、あ-く、あ-ける、からkū, sora, a-ku, a-keru, kara"
月,1,"month, moon","ゲツ、ガツ、つきgetsu, gatsu, tsuki"
犬,1,dog,"ケン、いぬken, inu"
見,1,see,"ケン、み-る、み-える、み-せるken, mi-ru, mi-eru, mi-seru"
五,1,five,"ゴ、いつ、いつ-つgo, itsu, itsu-tsu"
口,1,mouth,"コウ、ク、くちkō, ku, kuchi"
校,1,school,コウkō
左,1,left (direction),"サ、ひだりsa, hidari"
三,1,three,"サン、み、み-つ、みっ-つsan, mi, mi-tsu, mi'-tsu"
山,1,mountain,"サン、やまsan, yama"
子,1,child,"シ、ス、こshi, su, ko"
四,1,four,"シ、よ、よ-つ、よっ-つ、よんshi, yo, yo-tsu, yo'-tsu, yon"
糸,1,thread,"シ、いとshi, ito"
字,1,letter,"ジ、あざji, aza"
耳,1,ear,"ジ、みみji, mimi"
七,1,seven,"シチ、なな、なな-つ、（なの）shichi, nana, nana-tsu, (nano)"
車,1,car,"シャ、くるまsha, kuruma"
手,1,hand,"シュ、て、（た）shu, te, (ta)"
十,1,ten,"ジュウ、ジッ、とお、とjū, ji', too, to"
出,1,exit,"シュツ、（スイ）、で-る、だ-すshutsu, (sui), de-ru, da-su"
女,1,woman,"ジョ、ニョ、（ニョウ）、おんな、めjo, nyo, (nyō), onna, me"
小,1,small,"ショウ、ちい-さい、こ、おshō, chii-sai, ko, o"
上,1,up,"ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-すjō, (shō), ue, (uwa), kami, a-geru, a-garu, nobo-ru, nobo-seru, nobo-su"
森,1,forest,"シン、もりshin, mori"
人,1,person,"ジン、ニン、ひとjin, nin, hito"
水,1,water,"スイ、みずsui, mizu"
正,1,correct,"セイ、ショウ、ただ-しい、ただ-す、まさsei, shō, tada-shii, tada-su, masa"
生,1,life,"セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なまsei, shō, i-kiru, i-kasu, i-keru, u-mareru, u-mu, o-u, ha-eru, ha-yasu, ki, nama"
青,1,blue,"セイ、（ショウ）、あお、あお-いsei, (shō), ao, ao-i"
夕,1,evening,"セキ、ゆうseki, yū"
石,1,stone,"セキ、（シャク）、（コク）、いしseki, (shaku), (koku), ishi"
赤,1,red,"セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめるseki, (shaku), aka, aka-i, aka-ramu, aka-rameru"
千,1,thousand,"セン、ちsen, chi"
川,1,river,"セン、かわsen, kawa"
先,1,previous,"セン、さきsen, saki"
早,1,early,"ソウ、（サッ）、はや-い、はや-まる、はや-めるsō, (sa'), haya-i, haya-maru, haya-meru"
草,1,grass,"ソウ、くさsō, kusa"
足,1,foot,"ソク、あし、た-りる、た-る、た-すsoku, ashi, ta-riru, ta-ru, ta-su"
村,1,village,"ソン、むらson, mura"
大,1,large,"ダイ、タイ、おお、おお-きい、おお-いにdai, tai, oo, oo-kii, oo-ini"
男,1,male,"ダン、ナン、おとこdan, nan, otoko"
竹,1,bamboo,"チク、たけchiku, take"
中,1,middle,"チュウ、（ジュウ）、なかchū, (jū), naka"
