New (Shinjitai),Grade,English meaning,Readings
虫,1,insect,"チュウ、むしchū, mushi"
町,1,town,"チョウ、まちchō, machi"
天,1,heaven,"テン、あめ、（あま）ten, ame, (ama)"
田,1,rice paddy,"デン、たden, ta"
土,1,soil,"ド、ト、つちdo, to, tsuchi"
二,1,two,"ニ、ふた、ふた-つni, futa, futa-tsu"
日,1,day,"ニチ、ジツ、ひ、かnichi, jitsu, hi, ka"
入,1,enter,"ニュウ、い-る、い-れる、はい-るnyū, i-ru, i-reru, hai-ru"
年,1,year,"ネン、としnen, toshi"
白,1,white,"ハク、ビャク、しろ、（しら）、しろ-いhaku, byaku, shiro, (shira), shiro-i"
八,1,eight,"ハチ、や、や-つ、やっ-つ、（よう）hachi, ya, ya-tsu, ya'-tsu, (yō)"
百,1,hundred,ヒャクhyaku
文,1,writing,"ブン、モン、ふみbun, mon, fumi"
木,1,tree,"ボク、モク、き、（こ）boku, moku, ki, (ko)"
本,1,book,"ホン、もとhon, moto"
名,1,name,"メイ、ミョウ、なmei, myō, na"
目,1,eye,"モク、（ボク）、め、（ま）moku, (boku), me, (ma)"
立,1,stand up,"リツ、（リュウ）、た-つ、た-てるritsu, (ryū), ta-tsu, ta-teru"
力,1,power,"リョク、リキ、ちからryoku, riki, chikara"
林,1,woods,"リン、はやしrin, hayashi"
六,1,six,"ロク、む、む-つ、むっ-つ、（むい）roku, mu, mu-tsu, mu'-tsu, (mui)"
