New (Shinjitai),Grade,English meaning,Readings
愛,4,love,アイ ai
案,4,plan,アン an
以,4,by means of,イ i
衣,4,clothes,イ i、ころも koromo
位,4,rank,イ i、くらい kurai
茨 [5],4,thorn,（いばら）[6]( ibara)
印,4,mark,イン in、しるし shirushi
英,4,England,エイ ei
栄,4,prosperity,エイ ei、さか-える saka-eru、は-え ha-e、は-える ha-eru
媛,4,princess,エン en
塩,4,salt,エン en、しお shio
岡,4,hill,（おか）[6]( oka)
億,4,hundred million,オク oku
加,4,add,カ ka、くわ-える kuwa-eru、くわ-わる kuwa-waru
果,4,fruit,カ ka、は-たす ha-tasu、は-てる ha-teru、は-て ha-te
貨,4,freight,カ ka
課,4,section,カ ka
芽,4,bud,ガ ga、め me
賀,4,congratulations,ガ ga
改,4,reformation,カイ kai、あらた-める arata-meru、あらた-まる arata-maru
械,4,contraption,カイ kai
害,4,harm,ガイ gai
街,4,street,ガイ gai、（カイ） (kai)、まち machi
各,4,each,カク kaku、おのおの onoono
覚,4,memorize,カク kaku、おぼ-える obo-eru、さ-ます sa-masu、さ-める sa-meru
潟,4,lagoon,かた kata
完,4,perfect,カン kan
官,4,government official,カン kan
管,4,pipe,カン kan、くだ kuda
関,4,related,カン kan、せき seki、かか-わる kaka-waru
観,4,observe,カン kan
願,4,request,ガン gan、ねが-う nega-u
岐,4,branch off,キ ki
希,4,hope,キ ki
季,4,seasons,キ ki
旗,4,national flag,キ ki、はた hata
器,4,container,キ ki、うつわ utsuwa
機,4,machine,キ ki、はた hata
議,4,deliberation,ギ gi
求,4,request,キュウ kyū、もと-める moto-meru
泣,4,cry,キュウ kyū、な-く na-ku
給,4,salary,キュウ kyū
挙,4,raise,キョ kyo、あ-げる a-geru、あ-がる a-garu
漁,4,fishing,ギョ gyo、リョウ ryō
共,4,together,キョウ kyō、とも tomo
協,4,cooperation,キョウ kyō
鏡,4,mirror,キョウ kyō、かがみ kagami
競,4,compete,キョウ kyō、ケイ kei、きそ-う kiso-u、せ-る se-ru
極,4,poles,キョク kyoku、ゴク goku、きわ-める kiwa-meru、きわ-まる kiwa-maru、きわ-み kiwa-mi
熊,4,bear,くま kuma
訓,4,instruction,クン kun
軍,4,army,グン gun
郡,4,county,グン gun
群,4,flock,グン gun、む-れる mu-reru、む-れ mu-re、（むら） (mura)
径,4,diameter,ケイ kei
景,4,scenery,ケイ kei
芸,4,art,ゲイ gei
欠,4,lack,ケツ ketsu、か-ける ka-keru、か-く ka-ku
結,4,tie,ケツ ketsu、むす-ぶ musu-bu、ゆ-う yu-u、ゆ-わえる yu-waeru
建,4,build,ケン ken、（コン） (kon)、た-てる ta-teru、た-つ ta-tsu
健,4,healthy,ケン ken、すこ-やか suko-yaka
験,4,test,ケン ken、（ゲン） (gen)
固,4,hard,コ ko、かた-める kata-meru、かた-まる kata-maru、かた-い kata-i
功,4,achievement,コウ kō、（ク） (ku)
好,4,like,コウ kō、この-む kono-mu、す-く su-ku
香,4,incense,コウ kō、（キョウ） (kyō)、か ka、かお-り kao-ri、かお-る kao-ru
候,4,climate,コウ kō、そうろう sōrō
康,4,health,コウ kō
佐,4,help,サ sa
差,4,distinction,サ sa、さ-す sa-su
菜,4,vegetable,サイ sai、な na
最,4,most,サイ sai、もっと-も motto-mo
埼,4,cape (geography),（さい）[6]( sai)
材,4,lumber,ザイ zai
崎,4,promontory,さき saki
昨,4,previous,サク saku
札,4,tag,サツ satsu、ふだ fuda
刷,4,printing,サツ satsu、す-る su-ru
察,4,guess,サツ satsu
参,4,participate,サン san、まい-る mai-ru
産,4,give birth,サン san、う-む u-mu、う-まれる u-mareru、うぶ ubu
散,4,scatter,サン san、ち-る chi-ru、ち-らす chi-rasu、ち-らかす chi-rakasu、ち-らかる chi-rakaru
残,4,remainder,ザン zan、のこ-る noko-ru、のこ-す noko-su
氏,4,family name,シ shi、うじ uji
司,4,director,シ shi
試,4,test,シ shi、こころ-みる kokoro-miru、ため-す tame-su
児,4,child,ジ ji、（ニ） (ni)
治,4,govern,ジ ji、チ chi、おさ-める osa-meru、おさ-まる osa-maru、なお-る nao-ru、なお-す nao-su
滋,4,nourishing,ジ ji
辞,4,resign,ジ ji、や-める ya-meru
鹿,4,deer,しか shika、（か） (ka)
失,4,lose,シツ shitsu、うしな-う ushina-u
借,4,borrow,シャク shaku、か-りる ka-riru
種,4,kind,シュ shu、たね tane
周,4,circumference,シュウ shū、まわ-り mawa-ri
祝,4,celebrate,シュク shuku、（シュウ） (shū)、いわ-う iwa-u
順,4,obey,ジュン jun
初,4,first,ショ sho、はじ-め haji-me、はじ-めて haji-mete、はつ hatsu、うい ui、そ-める so-meru
松,4,pine,ショウ shō、まつ matsu
笑,4,laugh,ショウ shō、わら-う wara-u、え-む e-mu
唱,4,chant,ショウ shō、とな-える tona-eru
焼,4,bake,ショウ shō、や-く ya-ku、や-ける ya-keru
照,4,illuminate,ショウ shō、て-る te-ru、て-らす te-rasu、て-れる te-reru
城,4,castle,ジョウ jō、しろ shiro
縄,4,straw rope,ジョウ jō、なわ nawa
臣,4,retainer,シン shin、ジン jin
信,4,trust,シン shin
井,4,well,セイ sei、（ショウ） (shō)、い i
成,4,become,セイ sei、（ジョウ） (jō)、な-る na-ru、な-す na-su
省,4,government ministry,セイ sei、ショウ shō、かえり-みる kaeri-miru、はぶ-く habu-ku
清,4,pure,セイ sei、（ショウ） (shō)、きよ-い kiyo-i、きよ-まる kiyo-maru、きよ-める kiyo-meru
静,4,quiet,セイ sei、（ジョウ） (jō)、しず shizu、しず-か shizu-ka、しず-まる shizu-maru、しず-める shizu-meru
席,4,seat,セキ seki
積,4,accumulate,セキ seki、つ-む tsu-mu、つ-もる tsu-moru
折,4,fold,セツ setsu、お-る o-ru、おり ori、お-れる o-reru
節,4,node,セツ setsu、（セチ） (sechi)、ふし fushi
説,4,theory,セツ setsu、（ゼイ） (zei)、と-く to-ku
浅,4,shallow,セン sen、あさ-い asa-i
戦,4,war,セン sen、いくさ ikusa、たたか-う tataka-u
選,4,choose,セン sen、えら-ぶ era-bu
然,4,so,ゼン zen、ネン nen
争,4,conflict,ソウ sō、あらそ-う araso-u
倉,4,warehouse,ソウ sō、くら kura
巣,4,nest,ソウ sō、す su
束,4,bundle,ソク soku、たば taba
側,4,side,ソク soku、がわ gawa
続,4,continue,ゾク zoku、つづ-く tsuzu-ku、つづ-ける tsuzu-keru
卒,4,graduate,ソツ sotsu
孫,4,grandchild,ソン son、まご mago
帯,4,sash,タイ tai、お-びる o-biru、おび obi
隊,4,group,タイ tai
達,4,attain,タツ tatsu
単,4,simple,タン tan
置,4,put,チ chi、お-く o-ku
仲,4,relationship,チュウ chū、なか naka
沖,4,open sea,チュウ chū、おき oki
兆,4,"portent, trillion",チョウ chō、きざ-す kiza-su、きざ-し kiza-shi
低,4,low,テイ tei、ひく-い hiku-i、ひく-める hiku-meru、ひく-まる hiku-maru
底,4,bottom,テイ tei、そこ soko
的,4,target,テキ teki、まと mato
典,4,code,テン ten
伝,4,transmit,デン den、つた-わる tsuta-waru、つた-える tsuta-eru、つた-う tsuta-u
徒,4,junior,ト to
努,4,toil,ド do、つと-める tsuto-meru
灯,4,lamp,トウ tō、ひ hi
働,4,work,ドウ dō、はたら-く hatara-ku
